iter	Passed	Remaining
0	12	12765
1	27	13953
2	37	12323
3	48	12143
4	58	11672
5	71	11878
6	82	11738
7	91	11403
8	105	11665
9	117	11651
10	133	11958
11	145	12014
12	158	12013
13	171	12085
14	181	11938
15	190	11733
16	199	11529
17	207	11320
18	219	11347
19	230	11313
20	246	11481
21	254	11305
22	264	11240
23	273	11111
24	281	10983
25	290	10872
26	300	10823
27	308	10720
28	321	10758
29	334	10817
30	346	10831
31	355	10747
32	365	10708
33	374	10653
34	384	10604
35	393	10527
36	401	10453
37	411	10415
38	419	10346
39	429	10317
40	440	10308
41	448	10239
42	458	10203
43	466	10135
44	476	10106
45	484	10048
46	493	9999
47	503	9986
48	513	9964
49	522	9935
50	531	9889
51	543	9903
52	550	9844
53	559	9801
54	567	9747
55	574	9689
56	583	9660
57	593	9634
58	601	9596
59	609	9553
60	617	9506
61	627	9496
62	638	9492
63	648	9485
64	660	9497
65	670	9490
66	679	9460
67	689	9449
68	698	9427
69	706	9386
70	718	9397
71	726	9360
72	739	9384
73	749	9381
74	759	9365
75	768	9349
76	780	9356
77	788	9321
78	802	9354
79	812	9341
80	822	9337
81	834	9338
82	845	9340
83	855	9330
84	866	9324
85	874	9290
86	884	9278
87	897	9296
88	914	9355
89	927	9376
90	941	9402
91	956	9440
92	965	9411
93	975	9399
94	984	9374
95	995	9370
96	1007	9380
97	1019	9381
98	1028	9362
99	1040	9366
100	1053	9377
101	1062	9352
102	1071	9331
103	1081	9315
104	1090	9298
105	1102	9299
106	1113	9294
107	1124	9283
108	1132	9258
109	1147	9283
110	1156	9264
111	1165	9238
112	1175	9229
113	1184	9205
114	1195	9198
115	1207	9201
116	1216	9180
117	1226	9165
118	1235	9144
119	1243	9121
120	1252	9096
121	1261	9080
122	1273	9079
123	1283	9068
124	1292	9050
125	1302	9036
126	1313	9026
127	1322	9006
128	1337	9027
129	1349	9034
130	1362	9036
131	1369	9008
132	1382	9013
133	1390	8983
134	1401	8980
135	1411	8967
136	1418	8938
137	1429	8931
138	1439	8916
139	1451	8913
140	1463	8912
141	1472	8896
142	1481	8880
143	1491	8864
144	1503	8864
145	1512	8846
146	1520	8824
147	1530	8810
148	1539	8792
149	1550	8785
150	1565	8803
151	1577	8802
152	1592	8815
153	1604	8816
154	1615	8806
155	1626	8800
156	1640	8806
157	1650	8796
158	1658	8774
159	1669	8765
160	1679	8750
161	1687	8728
162	1695	8706
163	1705	8693
164	1714	8675
165	1726	8674
166	1736	8660
167	1745	8644
168	1757	8639
169	1766	8623
170	1779	8626
171	1792	8628
172	1801	8610
173	1814	8612
174	1823	8596
175	1838	8607
176	1848	8592
177	1859	8588
178	1869	8576
179	1879	8562
180	1890	8554
181	1900	8541
182	1909	8525
183	1920	8516
184	1930	8503
185	1939	8486
186	1948	8469
187	1957	8453
188	1968	8447
189	1978	8435
190	1987	8419
191	1997	8405
192	2005	8383
193	2015	8373
194	2027	8370
195	2037	8359
196	2046	8342
197	2055	8325
198	2064	8308
199	2073	8293
200	2081	8272
201	2091	8261
202	2103	8259
203	2114	8250
204	2127	8249
205	2135	8231
206	2146	8223
207	2154	8204
208	2164	8192
209	2174	8178
210	2185	8171
211	2197	8166
212	2204	8146
213	2212	8125
214	2222	8115
215	2230	8097
216	2240	8083
217	2252	8081
218	2260	8061
219	2273	8062
220	2290	8074
221	2300	8061
222	2309	8046
223	2317	8028
224	2326	8012
225	2340	8015
226	2349	8001
227	2363	8002
228	2374	7994
229	2382	7977
230	2394	7971
231	2407	7968
232	2416	7956
233	2436	7976
234	2445	7962
235	2456	7953
236	2467	7942
237	2476	7929
238	2487	7920
239	2498	7911
240	2508	7898
241	2520	7894
242	2532	7889
243	2541	7875
244	2551	7862
245	2561	7851
246	2572	7842
247	2585	7838
248	2597	7833
249	2607	7822
250	2619	7815
251	2629	7805
252	2641	7798
253	2649	7782
254	2658	7766
255	2670	7762
256	2679	7747
257	2689	7734
258	2702	7732
259	2712	7719
260	2722	7708
261	2731	7693
262	2740	7680
263	2748	7662
264	2759	7652
265	2768	7639
266	2780	7634
267	2791	7624
268	2804	7620
269	2817	7617
270	2825	7601
271	2836	7592
272	2844	7575
273	2855	7566
274	2864	7551
275	2873	7536
276	2881	7522
277	2891	7508
278	2899	7492
279	2908	7479
280	2918	7467
281	2925	7449
282	2934	7434
283	2943	7421
284	2952	7408
285	2961	7394
286	2970	7380
287	2982	7373
288	2992	7363
289	3001	7348
290	3017	7352
291	3026	7339
292	3033	7320
293	3044	7310
294	3053	7298
295	3065	7289
296	3079	7290
297	3088	7276
298	3098	7264
299	3109	7254
300	3120	7246
301	3131	7237
302	3139	7222
303	3148	7208
304	3158	7197
305	3166	7182
306	3175	7169
307	3184	7153
308	3192	7138
309	3200	7122
310	3208	7107
311	3219	7098
312	3229	7089
313	3238	7075
314	3247	7061
315	3255	7047
316	3263	7031
317	3270	7014
318	3277	6997
319	3284	6980
320	3292	6963
321	3299	6947
322	3309	6936
323	3316	6918
324	3323	6903
325	3332	6889
326	3340	6875
327	3347	6857
328	3354	6842
329	3361	6824
330	3368	6809
331	3375	6791
332	3383	6776
333	3389	6759
334	3396	6742
335	3403	6726
336	3410	6710
337	3418	6694
338	3426	6680
339	3433	6665
340	3440	6649
341	3448	6635
342	3455	6618
343	3462	6603
344	3469	6586
345	3475	6569
