,job,balance,housing,loan,contact,campaign,poutcome,deposit
4982,technician,95,no,no,cellular,6,unknown,no
6873,management,1308,no,no,cellular,3,unknown,no
643,management,12,yes,no,cellular,1,unknown,yes
4187,retired,6,no,no,cellular,2,unknown,no
251,self-employed,132,no,no,cellular,1,unknown,yes
5552,blue-collar,388,no,no,telephone,2,unknown,no
4473,technician,3490,yes,no,cellular,2,unknown,yes
805,management,3,yes,no,cellular,2,other,no
6000,blue-collar,1310,no,no,unknown,2,unknown,no
1472,technician,1355,yes,no,cellular,1,unknown,yes
6607,services,5024,no,no,unknown,1,unknown,no
1271,blue-collar,133,yes,no,cellular,2,unknown,yes
4225,admin.,500,yes,no,cellular,8,unknown,no
2374,unemployed,115,no,no,cellular,2,unknown,no
7289,retired,2970,no,no,cellular,1,unknown,yes
1141,blue-collar,2870,yes,no,cellular,1,unknown,yes
1827,blue-collar,17672,no,no,cellular,1,unknown,no
3449,technician,318,no,no,cellular,1,failure,yes
3557,management,5310,yes,no,cellular,2,success,yes
1917,blue-collar,7735,yes,no,cellular,1,failure,no
675,management,6542,yes,no,cellular,4,failure,yes
5126,blue-collar,349,yes,no,cellular,2,unknown,no
6920,blue-collar,2669,yes,no,cellular,1,unknown,no
1549,technician,0,yes,no,cellular,2,failure,yes
105,unknown,1567,no,no,cellular,2,unknown,no
5765,services,945,no,no,cellular,1,unknown,yes
5581,technician,-280,yes,no,cellular,2,failure,no
6175,services,49,yes,no,unknown,2,unknown,yes
2737,retired,0,yes,no,cellular,1,failure,no
1074,technician,371,yes,yes,cellular,2,success,yes
649,admin.,0,yes,no,unknown,1,unknown,no
2299,entrepreneur,1002,no,no,unknown,3,unknown,no
6231,entrepreneur,0,no,no,unknown,1,unknown,no
6376,services,173,yes,no,unknown,2,unknown,no
278,blue-collar,97,yes,no,unknown,1,unknown,yes
4279,housemaid,131,yes,yes,cellular,1,unknown,no
2496,blue-collar,15,yes,no,cellular,2,failure,no
2116,admin.,260,yes,no,cellular,2,failure,no
1533,technician,386,no,no,cellular,1,unknown,yes
301,management,224,yes,no,cellular,2,failure,yes
7261,admin.,974,no,no,cellular,2,success,yes
5208,technician,0,yes,no,cellular,1,success,yes
2751,management,649,no,no,cellular,2,failure,no
3412,management,4688,no,no,cellular,1,unknown,yes
6738,management,20,yes,no,cellular,1,unknown,no
5235,technician,3323,yes,yes,cellular,3,unknown,no
7160,admin.,146,no,no,cellular,1,success,yes
2442,self-employed,5810,no,no,cellular,1,unknown,yes
1137,student,372,no,no,telephone,3,unknown,yes
2971,blue-collar,413,yes,no,cellular,2,success,yes
3291,services,92,yes,yes,unknown,3,unknown,no
5949,admin.,3540,yes,no,cellular,1,unknown,no
2675,services,633,yes,no,unknown,2,unknown,no
1439,unemployed,0,yes,no,cellular,1,failure,yes
5484,management,1384,yes,no,cellular,2,other,no
3839,unemployed,7,no,no,cellular,1,failure,no
3173,blue-collar,7934,yes,no,unknown,1,unknown,no
1951,services,81,no,no,cellular,1,unknown,yes
4885,management,278,no,yes,cellular,1,unknown,no
5630,technician,1101,no,no,cellular,1,unknown,yes
2424,services,1337,no,no,cellular,1,unknown,yes
1747,blue-collar,4040,no,no,cellular,5,unknown,no
1053,management,679,no,no,cellular,2,unknown,yes
1056,management,384,no,no,telephone,1,unknown,no
1602,services,410,no,no,unknown,4,unknown,no
309,unemployed,497,yes,no,cellular,3,success,yes
5012,management,0,yes,no,cellular,21,unknown,no
956,technician,1646,yes,no,cellular,1,failure,yes
6479,blue-collar,92,yes,no,unknown,1,unknown,yes
4227,services,0,yes,no,cellular,1,unknown,no
6921,housemaid,34,yes,no,cellular,3,unknown,no
1635,admin.,96,no,no,cellular,1,failure,no
1404,blue-collar,14646,no,no,cellular,1,unknown,yes
2462,admin.,8784,yes,no,unknown,2,unknown,no
4002,student,0,no,no,cellular,3,failure,yes
3069,admin.,5021,no,no,cellular,1,unknown,yes
1743,admin.,1264,no,no,telephone,2,unknown,no
4206,technician,1075,no,no,cellular,1,unknown,yes
7122,services,304,yes,yes,unknown,1,unknown,no
3737,blue-collar,61,yes,no,cellular,2,success,yes
3125,technician,1075,no,no,cellular,2,success,yes
4234,technician,2,no,no,cellular,2,unknown,no
4111,retired,-639,yes,no,cellular,1,unknown,yes
821,self-employed,592,no,no,cellular,1,unknown,no
4325,self-employed,2084,yes,no,cellular,2,failure,no
5287,admin.,0,yes,no,unknown,1,unknown,no
5637,management,71,no,no,cellular,3,failure,yes
2986,blue-collar,1070,no,no,cellular,4,unknown,no
5983,blue-collar,605,yes,no,unknown,10,unknown,no
6406,technician,27,yes,no,unknown,3,unknown,no
2264,admin.,982,no,no,cellular,1,unknown,no
1905,management,105,yes,no,cellular,1,failure,no
6954,services,446,yes,no,unknown,1,unknown,yes
6280,blue-collar,39,no,no,cellular,2,failure,no
6056,entrepreneur,3571,no,no,unknown,3,unknown,no
7319,housemaid,7441,no,no,cellular,6,unknown,yes
7199,technician,6831,no,no,cellular,2,unknown,yes
3062,admin.,-461,yes,yes,unknown,8,unknown,no
43,services,228,yes,no,cellular,6,unknown,yes
5816,retired,1,no,no,cellular,3,unknown,yes
5490,management,2159,no,no,unknown,1,unknown,yes
6924,technician,309,no,yes,cellular,5,unknown,no
6425,technician,2544,no,no,cellular,1,success,yes
4295,management,2044,no,no,telephone,1,unknown,no
2944,admin.,732,no,no,cellular,4,unknown,yes
1516,blue-collar,-207,no,no,cellular,2,unknown,yes
6910,technician,656,no,yes,unknown,1,unknown,no
2150,services,324,yes,no,cellular,2,failure,no
965,management,-600,yes,no,cellular,1,unknown,no
7269,admin.,190,no,no,cellular,1,unknown,yes
6849,blue-collar,218,yes,no,cellular,6,unknown,yes
6413,housemaid,417,no,no,cellular,2,unknown,no
4512,technician,3296,yes,no,cellular,1,unknown,no
3385,services,-1139,yes,no,cellular,1,unknown,no
1255,management,7506,yes,no,unknown,1,unknown,yes
6651,blue-collar,2235,yes,no,cellular,2,unknown,no
3210,blue-collar,-1,yes,no,cellular,6,other,yes
6744,services,1595,no,no,unknown,1,unknown,yes
5594,blue-collar,313,yes,no,cellular,2,other,no
4437,management,1968,no,no,cellular,1,unknown,yes
5228,management,2682,yes,no,cellular,1,unknown,no
929,technician,1,no,no,cellular,1,success,yes
1078,admin.,529,yes,no,cellular,1,other,no
5144,student,549,no,no,cellular,1,unknown,no
3630,entrepreneur,-104,no,yes,cellular,1,unknown,no
4008,admin.,882,yes,yes,unknown,2,unknown,no
3387,admin.,1544,yes,no,unknown,1,unknown,no
4895,admin.,1604,no,yes,cellular,1,unknown,yes
7089,technician,118,no,no,cellular,1,unknown,yes
386,technician,808,yes,no,cellular,1,unknown,yes
6255,management,160,no,no,cellular,1,unknown,yes
534,technician,0,no,no,cellular,4,unknown,yes
3691,blue-collar,1822,yes,no,cellular,1,other,yes
6268,technician,250,no,yes,cellular,1,unknown,no
6959,technician,337,yes,no,cellular,1,failure,no
4588,management,165,no,yes,cellular,2,unknown,yes
7362,retired,-157,no,no,cellular,9,unknown,no
1242,retired,820,no,no,telephone,2,success,yes
2401,student,48,no,no,cellular,1,failure,yes
3718,technician,-782,yes,yes,unknown,10,unknown,no
598,admin.,338,yes,no,unknown,1,unknown,no
1390,technician,670,no,no,cellular,4,success,yes
1040,management,4293,yes,no,cellular,2,failure,no
4999,management,5205,no,no,cellular,2,unknown,yes
2748,management,395,yes,no,cellular,4,unknown,yes
3544,blue-collar,197,yes,no,unknown,3,unknown,no
3092,blue-collar,1206,no,yes,telephone,5,unknown,no
5004,management,0,no,no,cellular,5,unknown,no
7214,admin.,223,no,no,cellular,1,unknown,no
1084,admin.,2552,no,no,cellular,1,failure,yes
4526,self-employed,766,yes,no,cellular,2,failure,no
6388,technician,293,no,no,cellular,1,unknown,yes
2428,blue-collar,2715,yes,no,unknown,3,unknown,no
988,blue-collar,2226,yes,no,unknown,1,unknown,no
1228,technician,606,yes,no,cellular,1,unknown,no
190,entrepreneur,1,yes,yes,unknown,1,unknown,no
2661,management,1299,no,no,cellular,2,unknown,no
4800,unemployed,325,yes,no,unknown,4,unknown,no
5119,technician,4859,no,no,cellular,1,unknown,yes
4060,services,1114,no,no,cellular,1,unknown,no
7285,self-employed,661,no,no,cellular,2,unknown,no
7196,management,3932,yes,no,unknown,2,unknown,no
4715,technician,3549,yes,no,cellular,4,unknown,no
5313,blue-collar,1628,yes,no,cellular,8,unknown,yes
3729,management,1057,no,no,cellular,2,failure,yes
382,blue-collar,863,yes,no,telephone,3,unknown,yes
1535,services,339,yes,no,unknown,4,unknown,no
1887,blue-collar,-78,yes,no,unknown,1,unknown,no
24,student,3733,yes,no,cellular,5,success,no
4176,management,3160,yes,no,cellular,2,unknown,yes
3876,technician,276,no,no,unknown,2,unknown,no
7290,student,0,no,no,cellular,6,unknown,yes
3844,management,158,no,no,cellular,3,success,yes
3739,blue-collar,4996,yes,no,unknown,2,unknown,no
6052,management,255,no,no,cellular,2,success,yes
887,admin.,3672,yes,no,unknown,5,unknown,no
603,admin.,131,yes,no,cellular,1,success,yes
1975,management,859,yes,yes,cellular,3,unknown,no
3949,technician,1788,no,no,cellular,1,unknown,no
1609,admin.,5426,yes,no,unknown,2,unknown,no
6881,management,1445,no,no,cellular,2,success,yes
59,technician,874,no,no,cellular,3,unknown,yes
1978,blue-collar,1949,yes,no,unknown,3,unknown,no
338,blue-collar,1049,no,no,telephone,3,unknown,no
325,blue-collar,2775,no,no,unknown,1,unknown,no
6021,admin.,0,yes,no,cellular,2,failure,yes
567,blue-collar,209,no,no,cellular,6,unknown,no
5193,retired,20,no,no,cellular,1,unknown,no
5365,self-employed,322,yes,no,unknown,1,unknown,no
6989,blue-collar,0,yes,no,cellular,6,unknown,no
547,unemployed,-144,no,no,cellular,3,unknown,yes
7405,blue-collar,4108,yes,no,cellular,2,unknown,yes
2599,management,4917,no,no,cellular,1,unknown,yes
1875,retired,3771,no,no,telephone,1,failure,yes
3097,admin.,1046,yes,no,cellular,1,unknown,yes
2699,technician,11,no,no,cellular,2,unknown,no
6230,retired,1,no,no,cellular,1,success,yes
2255,technician,565,no,no,cellular,2,unknown,no
1025,unknown,2206,no,no,cellular,1,success,yes
4068,services,3715,yes,no,telephone,2,failure,no
1146,management,3283,no,no,cellular,1,failure,yes
60,blue-collar,2,no,yes,telephone,2,unknown,no
6618,unknown,1517,no,no,unknown,1,unknown,no
5341,management,715,yes,no,cellular,1,failure,no
2792,management,1696,yes,no,cellular,1,failure,yes
5076,admin.,-32,no,yes,cellular,2,success,yes
2965,blue-collar,2,yes,no,unknown,2,unknown,yes
3952,admin.,-122,yes,no,unknown,3,unknown,yes
4764,admin.,0,no,no,cellular,1,failure,yes
2595,services,895,yes,no,unknown,1,unknown,no
3048,management,1064,no,no,cellular,2,unknown,no
6837,services,2567,yes,no,unknown,2,unknown,no
6737,management,8828,no,no,unknown,3,unknown,yes
7080,admin.,1947,no,no,telephone,1,unknown,yes
77,services,0,no,no,unknown,6,unknown,no
5862,management,2081,no,no,cellular,3,unknown,yes
4767,blue-collar,785,yes,no,cellular,2,unknown,yes
4797,entrepreneur,-468,no,no,cellular,1,unknown,yes
3794,technician,3455,yes,no,unknown,2,unknown,no
4210,technician,945,yes,no,cellular,1,unknown,no
2288,self-employed,-94,yes,no,cellular,1,unknown,no
3498,blue-collar,430,no,no,cellular,3,failure,no
3556,blue-collar,102,no,no,cellular,2,unknown,no
1761,management,2603,yes,no,cellular,4,unknown,yes
6657,technician,179,yes,no,cellular,2,other,no
3941,technician,476,yes,no,cellular,1,unknown,no
4938,management,490,no,no,cellular,1,unknown,no
2772,admin.,124,yes,no,cellular,3,unknown,no
5712,management,92,no,no,cellular,5,unknown,yes
6988,self-employed,562,yes,yes,cellular,1,failure,yes
6600,blue-collar,2689,yes,no,cellular,1,unknown,yes
5849,retired,3417,no,no,cellular,1,success,yes
35,retired,1612,no,no,cellular,1,failure,yes
5040,services,1547,yes,no,cellular,1,unknown,yes
1048,entrepreneur,781,no,yes,cellular,2,failure,yes
1341,blue-collar,138,yes,no,cellular,2,unknown,no
1683,management,4025,yes,no,cellular,4,unknown,no
3847,technician,1473,yes,no,unknown,3,unknown,no
688,retired,6690,no,no,cellular,1,unknown,no
538,housemaid,497,no,no,unknown,5,unknown,no
2281,management,1575,no,no,cellular,4,unknown,no
896,management,156,no,no,cellular,3,unknown,yes
4374,management,62,yes,no,cellular,1,failure,yes
1047,admin.,4344,yes,no,cellular,2,failure,no
1582,admin.,1996,no,yes,cellular,3,unknown,no
6441,self-employed,1943,yes,no,cellular,2,unknown,no
6946,management,86,no,no,unknown,2,unknown,no
5673,management,1966,no,no,cellular,3,unknown,no
1998,management,160,yes,yes,cellular,1,unknown,no
184,blue-collar,184,no,yes,cellular,11,unknown,yes
1773,management,4,no,no,cellular,4,unknown,yes
4466,services,2145,no,no,cellular,2,success,yes
5809,management,1584,yes,no,cellular,2,unknown,yes
2356,services,26,yes,no,cellular,3,unknown,no
6395,admin.,985,yes,no,cellular,3,failure,yes
1125,blue-collar,186,no,no,cellular,1,unknown,no
5043,admin.,3608,yes,no,unknown,1,unknown,yes
485,technician,1320,no,no,cellular,2,unknown,yes
6167,technician,341,no,no,cellular,1,unknown,yes
157,technician,2611,yes,no,cellular,1,failure,yes
5032,blue-collar,13,yes,no,unknown,1,unknown,no
7188,blue-collar,953,yes,no,unknown,1,unknown,no
5550,admin.,3415,no,no,cellular,3,success,yes
894,management,538,no,no,cellular,1,success,yes
