,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
5523,45,self-employed,112,no,no,unknown,jun,4,-1,unknown,no
6674,54,retired,309,no,no,cellular,aug,2,-1,unknown,yes
2041,64,housemaid,768,no,no,cellular,jan,1,-1,unknown,yes
713,37,technician,247,no,no,cellular,aug,6,-1,unknown,yes
3793,31,management,166,no,no,cellular,aug,6,-1,unknown,no
5419,26,blue-collar,133,no,yes,cellular,jul,3,-1,unknown,no
1688,49,housemaid,889,no,no,telephone,jul,1,-1,unknown,yes
1297,30,management,726,yes,no,cellular,apr,1,342,failure,no
523,37,technician,-59,yes,no,cellular,jul,1,-1,unknown,no
4374,45,self-employed,-497,yes,yes,cellular,nov,1,-1,unknown,no
2701,52,entrepreneur,3469,yes,no,cellular,nov,1,-1,unknown,yes
5921,61,management,997,no,no,cellular,jun,1,104,success,yes
6117,49,technician,378,no,no,unknown,jun,2,-1,unknown,no
3403,40,admin.,1248,no,no,unknown,jun,2,-1,unknown,yes
7683,22,student,0,no,no,cellular,feb,6,-1,unknown,yes
5702,58,self-employed,1382,no,no,unknown,jun,1,-1,unknown,yes
4600,34,blue-collar,113,yes,no,cellular,may,2,-1,unknown,no
2465,37,management,1594,yes,no,cellular,apr,1,260,failure,no
2487,33,management,588,yes,no,cellular,may,5,-1,unknown,no
1598,34,blue-collar,79,no,no,telephone,jul,4,-1,unknown,yes
6652,36,blue-collar,0,no,no,unknown,jun,1,-1,unknown,no
1456,50,unemployed,588,no,no,cellular,jul,3,-1,unknown,no
6169,38,self-employed,138,no,no,unknown,may,3,-1,unknown,no
2120,33,technician,557,no,no,cellular,may,1,-1,unknown,yes
4180,53,management,2693,no,no,cellular,mar,1,104,failure,yes
5382,28,management,6784,no,no,cellular,oct,1,115,other,yes
6474,61,retired,938,no,no,cellular,jul,2,183,success,yes
4605,55,management,568,no,no,cellular,aug,10,-1,unknown,yes
5476,34,technician,184,yes,no,cellular,jul,3,-1,unknown,no
4446,33,technician,2565,yes,no,cellular,may,2,-1,unknown,no
1809,32,technician,6281,yes,no,unknown,jun,4,-1,unknown,yes
3665,33,management,0,yes,no,cellular,apr,1,-1,unknown,yes
7766,52,management,1158,no,no,cellular,aug,4,-1,unknown,no
2461,55,management,2037,no,no,cellular,nov,2,273,failure,yes
6954,22,self-employed,780,no,no,cellular,mar,3,-1,unknown,yes
6718,36,admin.,1328,no,no,cellular,jul,9,-1,unknown,no
140,28,services,47,no,no,cellular,jul,2,-1,unknown,no
917,43,housemaid,-177,yes,no,unknown,may,2,-1,unknown,no
1235,43,services,5571,no,no,unknown,jun,1,-1,unknown,no
3267,28,self-employed,160,no,no,unknown,nov,1,-1,unknown,yes
5779,41,entrepreneur,121,yes,no,cellular,may,1,287,failure,no
1111,68,retired,2027,no,no,cellular,jun,2,92,success,yes
7765,56,management,3885,yes,no,cellular,jul,1,-1,unknown,no
1470,49,admin.,0,no,no,cellular,aug,2,-1,unknown,no
638,38,services,2678,no,no,cellular,sep,2,187,success,yes
5117,34,admin.,1085,no,no,cellular,mar,7,-1,unknown,yes
5732,38,housemaid,70,no,no,cellular,oct,3,148,success,yes
2433,32,services,182,yes,no,cellular,may,1,-1,unknown,no
1228,33,technician,133,no,no,cellular,may,1,-1,unknown,yes
5312,36,services,38,no,no,unknown,jun,4,-1,unknown,no
6274,40,entrepreneur,3676,yes,yes,unknown,may,1,-1,unknown,no
1203,32,self-employed,1464,no,no,telephone,aug,2,-1,unknown,no
3035,28,blue-collar,-197,yes,no,unknown,may,2,-1,unknown,yes
1016,30,admin.,0,no,no,cellular,sep,3,-1,unknown,yes
2685,31,admin.,355,yes,no,cellular,may,1,-1,unknown,yes
198,38,admin.,46,no,no,cellular,aug,2,-1,unknown,no
1176,43,management,1046,no,no,unknown,jun,1,-1,unknown,yes
4061,35,technician,1473,yes,no,unknown,may,3,-1,unknown,no
5565,44,management,13054,yes,no,cellular,may,2,174,other,no
650,44,entrepreneur,121,no,no,cellular,aug,1,-1,unknown,yes
5895,29,unemployed,550,no,no,cellular,jan,1,-1,unknown,yes
7625,58,management,3228,no,no,cellular,aug,2,-1,unknown,no
790,44,admin.,40,no,yes,unknown,may,2,-1,unknown,no
7249,31,technician,24,no,no,cellular,aug,2,-1,unknown,no
2492,37,management,0,no,no,unknown,jun,6,-1,unknown,yes
5513,35,management,2682,yes,no,cellular,jul,1,-1,unknown,no
3102,35,blue-collar,13,no,yes,cellular,jul,1,-1,unknown,no
2158,39,management,2981,no,no,cellular,mar,1,-1,unknown,yes
4430,41,blue-collar,943,yes,no,unknown,may,3,-1,unknown,no
3811,47,services,1315,no,no,cellular,nov,4,-1,unknown,yes
118,29,blue-collar,162,yes,no,cellular,jul,3,-1,unknown,no
3849,46,entrepreneur,0,no,yes,cellular,jul,1,-1,unknown,no
58,44,management,0,yes,no,unknown,may,1,-1,unknown,no
2995,33,management,990,yes,no,cellular,jul,2,-1,unknown,yes
4639,37,technician,480,no,no,cellular,oct,2,182,other,yes
2337,40,blue-collar,1009,yes,yes,unknown,jun,5,-1,unknown,yes
1635,27,management,843,no,no,cellular,jul,2,185,success,no
3268,59,admin.,3735,no,no,cellular,jun,3,91,success,yes
4921,29,blue-collar,-312,yes,yes,cellular,may,2,-1,unknown,no
5748,46,unknown,8564,no,no,cellular,aug,2,342,failure,no
7335,27,student,311,no,no,cellular,jul,1,148,success,yes
4181,39,management,0,yes,yes,cellular,jul,1,-1,unknown,no
3992,36,management,673,yes,no,cellular,jul,1,-1,unknown,yes
6011,47,technician,335,no,no,cellular,feb,1,-1,unknown,yes
972,40,admin.,274,yes,yes,cellular,jul,4,-1,unknown,no
4820,41,blue-collar,3622,no,no,unknown,jun,4,-1,unknown,yes
6819,25,technician,800,yes,no,unknown,may,4,-1,unknown,no
4280,28,admin.,174,yes,yes,cellular,feb,1,184,failure,no
691,49,services,7019,yes,no,cellular,jun,1,368,failure,yes
7316,42,management,687,no,no,cellular,aug,2,-1,unknown,no
2270,33,admin.,0,yes,yes,cellular,jul,1,-1,unknown,no
6248,37,management,1655,yes,no,cellular,may,1,175,failure,no
3750,20,student,215,no,no,cellular,aug,4,183,other,yes
7159,40,services,4157,yes,no,unknown,may,1,-1,unknown,no
3630,35,admin.,557,yes,no,cellular,jun,4,-1,unknown,no
1526,54,admin.,1693,no,no,cellular,apr,1,87,other,yes
3177,32,blue-collar,206,yes,no,unknown,may,2,-1,unknown,no
6378,37,admin.,1283,yes,no,unknown,may,1,-1,unknown,no
955,30,services,129,yes,no,unknown,may,7,-1,unknown,yes
2930,65,retired,343,no,no,telephone,feb,2,-1,unknown,no
1291,36,technician,-393,no,no,telephone,aug,4,-1,unknown,no
4750,47,blue-collar,4840,no,no,unknown,jun,1,-1,unknown,no
4814,32,technician,616,yes,no,cellular,aug,7,-1,unknown,no
