,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
1337,54,management,3473,yes,no,cellular,aug,2,-1,unknown,no
6575,49,technician,972,no,no,cellular,nov,3,175,failure,no
3471,72,retired,0,no,no,cellular,oct,3,-1,unknown,yes
83,57,retired,427,no,no,cellular,jan,1,-1,unknown,no
3191,62,blue-collar,272,no,no,cellular,aug,1,286,failure,yes
2163,53,retired,7132,no,no,cellular,aug,2,-1,unknown,no
6358,27,admin.,138,no,no,cellular,jun,2,-1,unknown,yes
332,48,unknown,3,no,no,cellular,aug,2,-1,unknown,no
6150,37,management,-42,yes,no,cellular,may,2,-1,unknown,yes
1564,34,management,291,no,no,cellular,aug,2,-1,unknown,no
2077,38,technician,581,yes,no,unknown,may,1,-1,unknown,no
5900,53,unemployed,4,no,no,cellular,jul,3,-1,unknown,no
4076,71,retired,4380,no,no,cellular,sep,1,-1,unknown,yes
1920,33,admin.,1437,yes,no,unknown,may,1,-1,unknown,no
2948,55,services,-40,yes,no,unknown,may,2,-1,unknown,no
7046,36,management,133,yes,no,unknown,may,1,-1,unknown,no
5361,33,blue-collar,-253,yes,no,cellular,may,3,-1,unknown,no
6406,26,management,222,no,no,cellular,jun,1,63,success,yes
5366,52,blue-collar,66653,no,no,cellular,aug,3,-1,unknown,no
4611,50,admin.,1575,no,no,cellular,nov,1,-1,unknown,no
4425,25,admin.,1141,yes,no,cellular,may,1,347,failure,no
3290,30,services,48,yes,no,cellular,jul,13,-1,unknown,yes
1034,32,management,2458,yes,no,cellular,may,2,-1,unknown,no
6018,27,blue-collar,484,yes,no,cellular,apr,2,-1,unknown,no
4203,54,services,0,no,no,cellular,sep,1,-1,unknown,yes
1007,46,management,0,yes,no,cellular,jul,2,-1,unknown,no
1201,31,management,1343,yes,yes,unknown,may,1,-1,unknown,no
5168,30,technician,-754,yes,yes,unknown,may,1,-1,unknown,no
5162,57,admin.,658,no,no,cellular,jul,1,-1,unknown,yes
34,42,management,742,yes,no,unknown,may,3,-1,unknown,no
2556,28,student,1925,no,no,cellular,nov,1,97,failure,yes
3983,26,admin.,338,no,no,cellular,oct,1,188,unknown,yes
7352,47,technician,2480,no,no,cellular,aug,2,-1,unknown,yes
5540,32,technician,388,no,no,cellular,apr,3,-1,unknown,yes
3996,29,admin.,332,no,no,cellular,apr,1,-1,unknown,yes
7551,55,blue-collar,7378,no,no,unknown,may,3,-1,unknown,no
311,36,blue-collar,409,yes,no,unknown,jun,3,-1,unknown,no
2819,27,blue-collar,-27,no,no,unknown,jun,2,-1,unknown,yes
4542,48,technician,759,yes,no,cellular,jul,5,-1,unknown,no
5702,58,self-employed,1382,no,no,unknown,jun,1,-1,unknown,yes
7354,49,blue-collar,399,no,no,cellular,jan,1,-1,unknown,no
4283,29,blue-collar,5,no,no,cellular,jun,1,-1,unknown,yes
1944,43,blue-collar,514,yes,yes,cellular,apr,2,-1,unknown,no
7390,48,blue-collar,1000,yes,no,unknown,jun,2,-1,unknown,yes
2383,35,management,750,yes,no,cellular,aug,12,-1,unknown,no
1502,35,services,0,yes,no,cellular,jul,1,-1,unknown,no
5033,56,unemployed,1110,no,no,cellular,feb,2,-1,unknown,yes
6261,32,self-employed,1249,yes,no,cellular,nov,1,-1,unknown,yes
1440,64,retired,846,no,no,cellular,feb,1,181,failure,yes
6796,37,technician,1580,no,no,cellular,aug,12,-1,unknown,no
4610,33,blue-collar,370,yes,no,cellular,apr,1,-1,unknown,no
1383,59,services,2965,yes,no,cellular,may,3,-1,unknown,yes
2959,36,technician,144,no,no,cellular,may,1,308,failure,no
3547,25,student,253,no,no,cellular,may,1,-1,unknown,yes
3333,25,management,493,yes,no,unknown,jun,1,-1,unknown,no
294,50,blue-collar,2590,yes,no,unknown,may,6,-1,unknown,no
4838,45,admin.,1506,no,no,cellular,jul,4,-1,unknown,yes
940,38,management,1704,no,no,cellular,sep,1,-1,unknown,no
2982,40,admin.,220,yes,no,cellular,may,2,-1,unknown,no
7319,33,management,1195,yes,no,telephone,may,4,-1,unknown,no
2737,32,blue-collar,897,yes,no,cellular,apr,3,322,failure,no
4890,31,technician,109,yes,no,unknown,may,1,-1,unknown,no
2167,65,retired,3629,no,no,cellular,apr,1,-1,unknown,yes
1968,35,services,152,yes,no,unknown,jun,1,-1,unknown,yes
3903,32,technician,491,no,no,cellular,jul,7,-1,unknown,yes
5304,51,management,346,no,no,cellular,feb,1,92,success,yes
675,31,blue-collar,17,yes,no,cellular,may,1,-1,unknown,no
2734,45,management,237,yes,no,cellular,nov,1,-1,unknown,no
2872,26,student,39,no,no,cellular,may,3,-1,unknown,yes
4630,25,services,10,yes,no,cellular,may,1,294,failure,no
4444,33,admin.,598,yes,no,unknown,may,1,-1,unknown,no
2072,59,retired,217,yes,no,unknown,may,3,-1,unknown,no
149,45,admin.,0,yes,no,cellular,nov,5,-1,unknown,no
1679,36,management,1400,yes,no,cellular,may,3,-1,unknown,yes
2947,54,admin.,1872,no,no,cellular,feb,5,-1,unknown,yes
2129,41,admin.,90,yes,no,cellular,may,2,347,failure,no
1939,46,entrepreneur,3317,no,no,cellular,nov,2,-1,unknown,no
3842,31,technician,53,yes,yes,cellular,may,1,-1,unknown,yes
6782,55,housemaid,1563,yes,no,cellular,nov,2,-1,unknown,no
6256,43,management,3578,no,no,cellular,jan,2,-1,unknown,no
7485,55,management,204,yes,no,cellular,jul,2,-1,unknown,yes
3555,82,retired,8603,no,no,cellular,jul,1,-1,unknown,yes
40,25,admin.,1185,no,no,cellular,oct,1,114,failure,yes
6028,65,retired,828,no,no,cellular,jul,1,-1,unknown,yes
4945,33,management,71,no,no,cellular,nov,1,287,failure,no
6149,30,blue-collar,-390,yes,no,cellular,may,1,-1,unknown,no
3654,44,management,3091,yes,no,unknown,jun,4,-1,unknown,no
3970,28,management,882,no,yes,cellular,jul,2,-1,unknown,no
7164,38,technician,1685,yes,no,unknown,may,1,-1,unknown,no
4408,31,services,447,no,no,cellular,mar,3,-1,unknown,yes
1924,30,management,536,no,no,cellular,jan,2,91,success,yes
2009,42,blue-collar,273,no,no,unknown,jun,1,-1,unknown,no
2740,46,admin.,596,yes,no,cellular,apr,3,-1,unknown,no
1109,33,management,679,no,no,cellular,aug,2,-1,unknown,yes
5141,29,technician,428,no,no,cellular,jul,4,-1,unknown,no
4845,27,technician,0,no,yes,cellular,jul,1,-1,unknown,yes
5893,49,technician,9131,yes,no,cellular,aug,1,461,failure,yes
6599,31,admin.,535,no,no,unknown,may,3,-1,unknown,no
6499,32,services,659,yes,no,cellular,apr,6,-1,unknown,no
2733,43,blue-collar,2160,no,no,cellular,jun,1,-1,unknown,yes
6032,32,technician,127,yes,no,cellular,aug,17,-1,unknown,no
5861,44,blue-collar,-101,yes,no,cellular,may,1,366,failure,yes
6168,24,management,1506,no,no,cellular,jun,2,95,success,yes
4609,37,admin.,1049,no,no,cellular,jul,5,-1,unknown,no
801,49,blue-collar,361,yes,no,unknown,jun,2,-1,unknown,yes
1394,32,technician,6746,no,no,cellular,nov,1,-1,unknown,yes
2172,25,blue-collar,389,no,no,cellular,jun,1,-1,unknown,yes
3237,44,blue-collar,1397,no,no,cellular,nov,1,-1,unknown,no
5839,74,retired,1413,no,no,cellular,feb,2,-1,unknown,yes
1370,31,technician,313,yes,no,cellular,aug,2,-1,unknown,no
4254,60,retired,514,no,no,cellular,oct,2,213,success,yes
3853,37,blue-collar,-97,yes,no,unknown,jun,2,-1,unknown,no
719,36,technician,301,yes,yes,cellular,jul,1,-1,unknown,no
3329,35,technician,13460,yes,no,cellular,may,3,-1,unknown,yes
5380,33,services,22,yes,no,unknown,may,1,-1,unknown,no
6405,45,management,1529,no,no,cellular,jun,1,-1,unknown,no
3874,32,admin.,653,no,no,cellular,jun,1,-1,unknown,yes
285,56,admin.,1694,no,no,cellular,aug,10,-1,unknown,yes
1661,36,management,3850,yes,no,cellular,aug,2,100,failure,yes
2292,48,technician,113,no,yes,cellular,jul,1,-1,unknown,no
7374,56,retired,13094,no,no,cellular,may,1,-1,unknown,yes
428,53,management,1624,no,no,cellular,aug,1,98,success,yes
5230,24,blue-collar,833,yes,no,cellular,may,1,-1,unknown,yes
7468,56,blue-collar,-9,yes,yes,cellular,may,1,-1,unknown,yes
7430,34,admin.,1581,yes,yes,unknown,may,11,-1,unknown,no
4215,57,management,372,no,no,cellular,nov,3,-1,unknown,yes
1609,26,student,5169,yes,no,cellular,may,1,35,failure,yes
7746,42,management,1146,yes,no,unknown,may,2,-1,unknown,no
4707,38,unemployed,804,no,no,cellular,jun,1,-1,unknown,yes
5184,37,management,1775,no,no,cellular,jul,5,-1,unknown,yes
481,33,management,2044,yes,no,cellular,may,3,177,failure,no
127,30,admin.,8781,yes,no,cellular,nov,1,-1,unknown,yes
7713,40,housemaid,7441,no,no,cellular,jul,6,-1,unknown,yes
5048,48,admin.,156,no,no,cellular,aug,1,-1,unknown,yes
4143,59,blue-collar,989,no,no,cellular,jul,2,-1,unknown,yes
6526,37,admin.,1000,yes,no,cellular,mar,1,-1,unknown,yes
7392,41,management,5310,yes,no,cellular,nov,1,-1,unknown,yes
2787,31,management,22867,yes,no,unknown,may,2,-1,unknown,no
5344,40,blue-collar,1841,yes,no,cellular,may,4,-1,unknown,yes
6312,39,management,1425,yes,no,cellular,may,3,-1,unknown,yes
2809,39,technician,681,yes,no,unknown,jun,1,-1,unknown,no
1513,46,blue-collar,2775,no,yes,cellular,jul,1,-1,unknown,no
6397,28,services,4,yes,no,unknown,jun,5,-1,unknown,no
948,33,management,1778,no,no,cellular,may,1,103,success,no
3433,49,self-employed,599,no,no,cellular,aug,1,-1,unknown,no
287,59,management,59,yes,no,unknown,may,1,-1,unknown,no
2111,39,admin.,0,yes,no,cellular,may,1,-1,unknown,no
5919,56,management,382,no,no,cellular,nov,2,-1,unknown,no
2960,39,blue-collar,62,yes,no,cellular,may,3,-1,unknown,yes
3698,43,technician,1612,no,no,cellular,may,2,353,other,yes
2369,49,admin.,1096,yes,no,cellular,apr,1,303,failure,no
3016,39,management,937,no,no,cellular,apr,4,-1,unknown,yes
5864,36,self-employed,3560,no,no,unknown,jun,2,-1,unknown,no
5336,60,technician,316,no,no,cellular,may,2,263,failure,yes
3261,37,management,165,no,no,cellular,aug,1,83,other,no
3049,35,unemployed,415,no,no,cellular,may,2,89,success,yes
1925,34,management,0,no,no,cellular,feb,3,9,other,yes
3207,25,blue-collar,2483,no,no,cellular,jul,3,-1,unknown,yes
2486,30,blue-collar,239,yes,no,unknown,may,1,-1,unknown,yes
5097,31,technician,1109,no,no,cellular,feb,1,167,failure,yes
5016,52,retired,353,no,no,cellular,jul,4,-1,unknown,no
5959,58,retired,1411,yes,no,cellular,may,2,-1,unknown,no
4217,36,technician,3,no,no,cellular,aug,4,-1,unknown,no
4401,34,technician,484,no,no,unknown,may,4,-1,unknown,no
6106,52,technician,0,no,no,cellular,nov,3,92,failure,yes
1226,46,technician,4023,yes,no,cellular,aug,2,-1,unknown,no
517,50,management,0,yes,no,unknown,may,4,-1,unknown,no
6728,27,technician,667,no,no,cellular,jan,2,-1,unknown,yes
397,44,management,58,yes,no,cellular,jul,3,-1,unknown,no
4157,30,management,2876,no,no,cellular,aug,4,-1,unknown,no
453,36,admin.,542,yes,no,unknown,jun,6,-1,unknown,no
3784,56,technician,751,yes,no,cellular,may,8,177,failure,no
4733,43,technician,0,yes,no,cellular,may,2,342,failure,no
2912,38,technician,11,no,no,unknown,jun,3,-1,unknown,no
5522,54,technician,4582,yes,no,unknown,may,1,-1,unknown,no
423,46,blue-collar,993,yes,no,unknown,jun,1,-1,unknown,no
3109,37,technician,157,yes,no,unknown,may,2,-1,unknown,no
6325,27,admin.,16,yes,no,cellular,feb,3,-1,unknown,no
3061,36,services,115,no,no,unknown,jun,1,-1,unknown,no
3672,30,admin.,4457,yes,no,cellular,nov,4,-1,unknown,yes
4164,51,entrepreneur,1443,no,no,cellular,feb,10,-1,unknown,yes
2103,57,retired,318,no,no,cellular,aug,4,-1,unknown,no
5878,26,technician,15161,no,no,cellular,feb,1,-1,unknown,yes
984,46,admin.,3201,yes,no,telephone,may,3,-1,unknown,no
6616,31,services,658,no,no,cellular,may,1,-1,unknown,no
3662,41,blue-collar,285,yes,no,cellular,apr,2,-1,unknown,yes
6104,35,student,387,yes,no,cellular,may,3,347,failure,yes
6749,40,housemaid,795,yes,no,unknown,may,3,-1,unknown,no
6530,40,management,0,yes,no,cellular,mar,2,-1,unknown,yes
5091,49,management,178,no,no,cellular,aug,2,-1,unknown,no
3200,57,housemaid,260,yes,no,unknown,may,3,-1,unknown,no
1443,40,blue-collar,-35,yes,no,cellular,may,3,-1,unknown,no
6090,58,services,688,no,no,cellular,aug,2,-1,unknown,no
4105,43,technician,1462,no,no,unknown,jun,2,-1,unknown,no
4398,43,technician,6835,no,no,cellular,nov,1,152,failure,no
5072,41,management,298,no,no,cellular,may,3,272,other,no
7672,50,admin.,0,yes,no,unknown,jun,1,-1,unknown,no
3570,31,management,6138,no,no,cellular,oct,2,119,failure,yes
3706,66,management,587,no,no,cellular,may,2,392,success,yes
4319,28,technician,2034,yes,no,unknown,may,1,-1,unknown,no
4692,41,admin.,224,yes,no,cellular,may,8,-1,unknown,no
42,34,blue-collar,0,yes,no,cellular,may,1,-1,unknown,no
653,56,management,25290,no,no,cellular,jul,12,-1,unknown,no
2120,33,technician,557,no,no,cellular,may,1,-1,unknown,yes
5731,50,technician,3654,no,no,cellular,oct,2,78,other,yes
4475,27,technician,15161,no,no,cellular,jun,1,120,success,yes
336,41,self-employed,231,no,no,cellular,aug,2,-1,unknown,yes
2993,58,technician,3399,no,no,cellular,may,1,97,other,yes
3583,40,technician,4736,yes,no,cellular,feb,2,-1,unknown,yes
863,35,management,2707,no,no,cellular,feb,1,-1,unknown,yes
3110,34,blue-collar,1924,yes,yes,cellular,apr,2,253,failure,no
914,62,blue-collar,180,no,no,cellular,apr,2,-1,unknown,yes
6124,50,blue-collar,71,yes,no,unknown,may,1,-1,unknown,no
1561,44,technician,9192,yes,no,unknown,jun,3,-1,unknown,no
6672,36,management,0,yes,no,cellular,may,3,-1,unknown,yes
5500,47,technician,0,yes,no,cellular,may,1,-1,unknown,no
3196,53,admin.,291,no,no,unknown,jul,1,-1,unknown,no
1155,42,blue-collar,784,no,no,cellular,apr,3,-1,unknown,no
4650,36,management,495,no,no,cellular,mar,3,182,success,yes
4571,25,technician,102,no,yes,cellular,jul,2,-1,unknown,yes
5178,28,management,229,yes,no,cellular,apr,2,315,other,yes
4759,44,blue-collar,10984,no,no,unknown,jun,18,-1,unknown,no
5676,45,blue-collar,521,yes,no,unknown,jun,3,-1,unknown,no
2541,40,technician,2338,no,no,cellular,oct,2,-1,unknown,yes
1815,30,technician,4787,yes,no,cellular,nov,1,167,failure,no
7518,68,retired,2820,no,no,cellular,mar,1,92,success,no
4199,39,housemaid,109,yes,no,unknown,may,3,-1,unknown,no
2028,31,unemployed,6,no,no,cellular,jun,4,-1,unknown,yes
2835,69,retired,2473,no,no,cellular,jul,3,-1,unknown,yes
4194,42,blue-collar,366,yes,no,cellular,may,1,106,failure,yes
7488,41,management,456,yes,no,cellular,aug,4,-1,unknown,yes
1457,46,technician,2149,yes,no,cellular,apr,2,-1,unknown,yes
1129,46,technician,1,yes,yes,unknown,may,3,-1,unknown,no
141,52,technician,425,yes,no,cellular,jan,2,254,failure,no
6907,34,entrepreneur,7279,yes,no,cellular,may,1,-1,unknown,yes
1052,42,housemaid,314,no,no,unknown,jun,2,-1,unknown,no
5259,30,technician,411,no,no,cellular,oct,3,149,failure,yes
1060,42,management,0,yes,no,cellular,nov,1,-1,unknown,yes
7268,30,technician,418,yes,no,unknown,jun,1,-1,unknown,no
6430,47,unemployed,0,no,no,unknown,jun,1,-1,unknown,no
5683,61,self-employed,52587,no,no,cellular,feb,3,189,success,yes
4273,45,management,31472,no,no,cellular,jul,7,-1,unknown,yes
7073,26,student,826,no,no,cellular,jan,1,-1,unknown,no
4058,34,management,158,no,no,cellular,mar,3,181,success,yes
2591,37,management,1027,yes,no,cellular,oct,1,119,failure,yes
3823,27,admin.,125,no,no,cellular,jul,1,288,failure,no
61,46,technician,874,no,no,cellular,nov,3,-1,unknown,yes
3353,48,blue-collar,113,no,no,cellular,aug,13,-1,unknown,no
687,31,technician,1166,yes,no,unknown,jun,1,-1,unknown,no
4399,22,student,381,no,no,cellular,feb,1,-1,unknown,yes
651,54,technician,719,yes,no,cellular,feb,1,264,failure,no
3897,61,retired,3738,no,no,telephone,feb,1,-1,unknown,no
902,60,unknown,17297,no,no,cellular,aug,11,-1,unknown,yes
5105,57,self-employed,2109,no,no,cellular,aug,6,-1,unknown,no
1676,42,management,-671,no,no,cellular,aug,2,-1,unknown,no
5067,29,technician,110,yes,no,cellular,apr,1,-1,unknown,yes
3908,44,technician,1901,no,no,cellular,aug,2,-1,unknown,no
2340,53,blue-collar,1388,no,no,cellular,aug,4,-1,unknown,no
893,32,management,2,yes,no,cellular,sep,2,-1,unknown,yes
2491,88,retired,648,no,no,telephone,sep,1,-1,unknown,no
5102,30,management,136,yes,no,unknown,may,1,-1,unknown,no
1627,47,blue-collar,125,no,no,cellular,jul,2,-1,unknown,no
7395,38,management,-558,yes,no,cellular,jul,1,-1,unknown,no
3587,42,technician,314,yes,no,unknown,oct,1,-1,unknown,yes
1757,41,admin.,2550,yes,no,cellular,may,2,347,failure,no
6107,32,services,785,no,no,cellular,jun,1,-1,unknown,no
314,27,admin.,73,no,no,cellular,jan,1,-1,unknown,no
4880,58,management,3342,no,no,cellular,feb,5,-1,unknown,yes
5681,38,technician,0,no,no,cellular,aug,2,-1,unknown,no
1855,43,blue-collar,245,yes,no,cellular,apr,1,-1,unknown,no
2821,25,technician,839,yes,no,cellular,may,3,-1,unknown,yes
6673,46,technician,332,yes,no,unknown,may,1,-1,unknown,yes
4207,48,blue-collar,1513,no,yes,cellular,jul,1,-1,unknown,no
6816,59,management,4412,no,no,cellular,nov,2,-1,unknown,yes
4754,30,entrepreneur,0,yes,yes,unknown,may,1,-1,unknown,yes
2847,42,admin.,329,no,no,cellular,aug,3,-1,unknown,no
933,26,admin.,255,no,no,cellular,apr,1,80,success,yes
7560,28,management,866,no,no,cellular,mar,2,-1,unknown,yes
772,46,admin.,556,yes,yes,unknown,may,3,-1,unknown,yes
146,39,blue-collar,2303,yes,no,unknown,jun,3,-1,unknown,yes
