,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
4982,31,technician,95,no,no,cellular,nov,6,-1,unknown,no
6873,31,management,1308,no,no,cellular,aug,3,-1,unknown,no
643,28,management,12,yes,no,cellular,sep,1,-1,unknown,yes
4187,52,retired,6,no,no,cellular,aug,2,-1,unknown,no
251,72,self-employed,132,no,no,cellular,apr,1,-1,unknown,yes
5552,49,blue-collar,388,no,no,telephone,jul,2,-1,unknown,no
4473,35,technician,3490,yes,no,cellular,aug,2,-1,unknown,yes
805,28,management,3,yes,no,cellular,sep,2,24,other,no
6000,60,blue-collar,1310,no,no,unknown,may,2,-1,unknown,no
1472,39,technician,1355,yes,no,cellular,may,1,-1,unknown,yes
6607,36,services,5024,no,no,unknown,may,1,-1,unknown,no
1271,37,blue-collar,133,yes,no,cellular,may,2,-1,unknown,yes
4225,29,admin.,500,yes,no,cellular,may,8,-1,unknown,no
2374,36,unemployed,115,no,no,cellular,feb,2,-1,unknown,no
7289,75,retired,2970,no,no,cellular,aug,1,-1,unknown,yes
1141,29,blue-collar,2870,yes,no,cellular,jul,1,-1,unknown,yes
1827,34,blue-collar,17672,no,no,cellular,nov,1,-1,unknown,no
3449,38,technician,318,no,no,cellular,feb,1,181,failure,yes
3557,42,management,5310,yes,no,cellular,may,2,186,success,yes
1917,42,blue-collar,7735,yes,no,cellular,apr,1,144,failure,no
675,32,management,6542,yes,no,cellular,may,4,175,failure,yes
5126,42,blue-collar,349,yes,no,cellular,apr,2,-1,unknown,no
6920,26,blue-collar,2669,yes,no,cellular,apr,1,-1,unknown,no
1549,29,technician,0,yes,no,cellular,may,2,337,failure,yes
105,41,unknown,1567,no,no,cellular,jul,2,-1,unknown,no
5765,32,services,945,no,no,cellular,nov,1,-1,unknown,yes
5581,30,technician,-280,yes,no,cellular,apr,2,266,failure,no
6175,37,services,49,yes,no,unknown,may,2,-1,unknown,yes
2737,57,retired,0,yes,no,cellular,may,1,363,failure,no
1074,52,technician,371,yes,yes,cellular,apr,2,182,success,yes
649,29,admin.,0,yes,no,unknown,may,1,-1,unknown,no
2299,42,entrepreneur,1002,no,no,unknown,jun,3,-1,unknown,no
6231,59,entrepreneur,0,no,no,unknown,jun,1,-1,unknown,no
6376,38,services,173,yes,no,unknown,may,2,-1,unknown,no
278,25,blue-collar,97,yes,no,unknown,may,1,-1,unknown,yes
4279,52,housemaid,131,yes,yes,cellular,may,1,-1,unknown,no
2496,50,blue-collar,15,yes,no,cellular,may,2,350,failure,no
2116,29,admin.,260,yes,no,cellular,feb,2,273,failure,no
1533,28,technician,386,no,no,cellular,may,1,-1,unknown,yes
301,29,management,224,yes,no,cellular,apr,2,81,failure,yes
7261,46,admin.,974,no,no,cellular,jun,2,80,success,yes
5208,35,technician,0,yes,no,cellular,nov,1,96,success,yes
2751,36,management,649,no,no,cellular,jul,2,91,failure,no
3412,64,management,4688,no,no,cellular,oct,1,-1,unknown,yes
6738,49,management,20,yes,no,cellular,feb,1,-1,unknown,no
5235,54,technician,3323,yes,yes,cellular,apr,3,-1,unknown,no
7160,33,admin.,146,no,no,cellular,oct,1,91,success,yes
2442,58,self-employed,5810,no,no,cellular,mar,1,-1,unknown,yes
1137,19,student,372,no,no,telephone,jul,3,-1,unknown,yes
2971,43,blue-collar,413,yes,no,cellular,aug,2,182,success,yes
3291,38,services,92,yes,yes,unknown,may,3,-1,unknown,no
5949,31,admin.,3540,yes,no,cellular,nov,1,-1,unknown,no
2675,26,services,633,yes,no,unknown,may,2,-1,unknown,no
1439,44,unemployed,0,yes,no,cellular,feb,1,272,failure,yes
5484,31,management,1384,yes,no,cellular,jan,2,2,other,no
3839,29,unemployed,7,no,no,cellular,may,1,179,failure,no
3173,46,blue-collar,7934,yes,no,unknown,may,1,-1,unknown,no
1951,30,services,81,no,no,cellular,apr,1,-1,unknown,yes
4885,28,management,278,no,yes,cellular,jan,1,-1,unknown,no
5630,38,technician,1101,no,no,cellular,apr,1,-1,unknown,yes
2424,34,services,1337,no,no,cellular,apr,1,-1,unknown,yes
1747,47,blue-collar,4040,no,no,cellular,aug,5,-1,unknown,no
