,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,deposit
5343,34,management,757,no,no,cellular,aug,4,-1,unknown,single,tertiary,0
180,45,technician,2403,no,no,cellular,nov,1,-1,unknown,married,secondary,0
6761,59,admin.,2343,yes,no,unknown,may,1,-1,unknown,married,secondary,1
3658,38,technician,20,no,no,cellular,feb,1,-1,unknown,married,secondary,0
4748,67,retired,443,no,no,cellular,aug,1,-1,unknown,divorced,tertiary,1
5004,63,retired,1840,no,no,cellular,mar,3,-1,unknown,divorced,primary,0
5833,32,self-employed,386,yes,no,cellular,nov,1,-1,unknown,single,tertiary,1
6988,58,admin.,1813,yes,no,telephone,jul,1,-1,unknown,married,secondary,0
5345,49,technician,342,no,yes,cellular,nov,3,-1,unknown,divorced,secondary,0
7375,37,technician,0,yes,no,cellular,jul,6,-1,unknown,single,tertiary,1
1354,51,self-employed,1178,no,no,cellular,aug,2,-1,unknown,married,secondary,0
1753,61,retired,8729,no,no,cellular,oct,1,-1,unknown,married,primary,1
4291,25,blue-collar,-375,yes,no,cellular,jul,2,-1,unknown,single,secondary,0
3239,50,management,297,yes,no,unknown,may,1,-1,unknown,single,tertiary,0
2,51,admin.,3025,no,no,cellular,may,1,352,other,married,secondary,1
207,38,management,413,no,no,cellular,oct,2,183,success,married,tertiary,1
6847,32,services,1743,yes,no,cellular,apr,1,261,other,single,tertiary,0
7143,36,management,4069,no,no,cellular,nov,1,-1,unknown,married,tertiary,1
2915,46,management,507,yes,no,cellular,apr,1,-1,unknown,divorced,tertiary,1
1183,46,admin.,875,yes,yes,cellular,may,3,353,failure,divorced,secondary,0
4302,67,retired,1430,no,no,telephone,may,2,135,success,married,primary,1
1499,35,management,243,yes,no,unknown,may,3,-1,unknown,single,tertiary,0
2684,43,admin.,59,yes,no,cellular,jul,3,-1,unknown,married,secondary,0
942,28,technician,742,no,no,cellular,may,1,-1,unknown,married,secondary,1
1599,41,management,3016,yes,no,cellular,jul,3,-1,unknown,married,tertiary,0
3321,54,technician,114,no,no,cellular,jul,3,-1,unknown,married,secondary,1
5883,35,technician,249,no,no,cellular,aug,8,-1,unknown,married,secondary,0
7110,25,services,0,yes,no,cellular,jul,9,-1,unknown,married,secondary,1
4524,26,admin.,-12,yes,no,unknown,jun,1,-1,unknown,single,secondary,0
5193,26,management,390,no,no,cellular,aug,1,-1,unknown,single,tertiary,1
678,44,unemployed,0,no,no,cellular,nov,4,-1,unknown,married,secondary,0
3460,44,management,3091,yes,no,unknown,jun,4,-1,unknown,married,tertiary,0
2097,38,student,64,no,no,cellular,aug,1,-1,unknown,single,unknown,0
1209,33,blue-collar,934,yes,no,unknown,jun,2,-1,unknown,married,primary,0
1921,31,unemployed,6,no,no,cellular,jun,4,-1,unknown,married,secondary,1
5215,49,unemployed,769,yes,no,unknown,may,1,-1,unknown,married,secondary,0
3196,27,services,54,yes,no,cellular,may,1,370,failure,married,secondary,0
6961,46,management,460,no,no,cellular,jan,1,-1,unknown,married,tertiary,0
1239,58,admin.,826,no,no,unknown,jun,1,-1,unknown,married,secondary,1
6567,27,student,253,no,no,cellular,may,2,-1,unknown,single,secondary,1
5807,44,self-employed,1070,yes,no,cellular,nov,1,91,success,divorced,tertiary,1
7221,28,management,223,yes,no,telephone,aug,2,119,other,single,tertiary,1
542,33,services,0,yes,no,cellular,may,2,-1,unknown,married,primary,0
5820,26,management,114,yes,no,cellular,may,1,-1,unknown,single,tertiary,1
6203,34,admin.,35,yes,no,cellular,oct,1,69,failure,married,tertiary,0
3171,23,student,9216,no,no,cellular,jun,2,-1,unknown,single,secondary,0
6841,70,retired,6422,no,no,cellular,mar,1,-1,unknown,married,secondary,1
4199,30,management,1541,no,no,cellular,aug,8,-1,unknown,single,tertiary,1
3337,30,management,364,no,no,cellular,apr,2,-1,unknown,single,tertiary,1
2671,45,blue-collar,96,yes,no,cellular,apr,3,256,failure,married,secondary,1
4908,35,technician,198,no,no,cellular,aug,13,-1,unknown,married,secondary,0
1839,61,retired,243,no,no,cellular,apr,1,-1,unknown,married,secondary,1
7047,44,admin.,-43,yes,yes,cellular,apr,1,-1,unknown,divorced,secondary,0
7095,45,admin.,-106,yes,yes,cellular,may,3,288,other,married,secondary,1
1032,32,technician,13711,yes,no,cellular,may,1,175,success,single,tertiary,0
5930,53,blue-collar,-634,no,no,cellular,aug,3,-1,unknown,married,secondary,0
309,45,management,623,no,no,cellular,sep,3,-1,unknown,married,tertiary,0
4949,48,unemployed,201,no,no,cellular,feb,2,92,success,divorced,secondary,1
