,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
4575,51,housemaid,108,no,no,unknown,jun,2,-1,unknown,no
6638,23,student,431,no,no,cellular,aug,2,-1,unknown,yes
815,26,admin.,2469,no,no,cellular,jul,8,-1,unknown,no
5638,30,management,-27,yes,no,unknown,may,2,-1,unknown,no
4249,19,student,55,no,no,telephone,oct,2,193,other,no
950,30,technician,635,no,no,cellular,aug,8,-1,unknown,yes
6586,53,services,8918,yes,no,telephone,jul,2,-1,unknown,no
4780,56,management,2333,no,no,cellular,may,1,-1,unknown,yes
3860,40,technician,0,yes,yes,cellular,jul,2,172,failure,no
5801,34,blue-collar,129,yes,yes,cellular,nov,1,200,success,yes
2634,23,services,279,yes,no,cellular,may,1,370,failure,yes
4450,24,student,597,yes,no,cellular,apr,3,-1,unknown,yes
1431,62,retired,1084,no,no,cellular,apr,1,-1,unknown,yes
7409,34,services,1337,no,no,cellular,dec,2,127,success,yes
5490,30,technician,194,no,yes,cellular,aug,3,-1,unknown,no
1362,30,technician,151,no,no,cellular,feb,2,-1,unknown,no
1684,49,housemaid,889,no,no,telephone,jul,1,-1,unknown,yes
4894,39,blue-collar,0,yes,no,unknown,may,1,-1,unknown,no
7690,55,technician,1199,no,yes,telephone,may,10,-1,unknown,no
7181,41,blue-collar,3851,no,no,cellular,nov,1,-1,unknown,no
5131,36,services,297,yes,yes,cellular,jul,5,-1,unknown,no
3404,27,services,246,no,no,cellular,jun,2,-1,unknown,yes
7720,42,services,774,no,no,cellular,jan,1,-1,unknown,yes
3555,49,blue-collar,4830,yes,no,unknown,jun,1,-1,unknown,no
7285,46,blue-collar,-388,yes,yes,cellular,jul,1,-1,unknown,no
7566,31,admin.,50,no,no,cellular,jan,1,-1,unknown,no
4460,36,blue-collar,928,no,no,cellular,apr,3,-1,unknown,no
5877,37,technician,3068,yes,yes,cellular,nov,2,195,other,yes
7217,34,blue-collar,1454,yes,no,cellular,feb,2,297,failure,yes
28,49,technician,1684,no,yes,cellular,jun,2,-1,unknown,yes
3751,73,retired,934,no,no,cellular,sep,5,-1,unknown,yes
618,59,unemployed,957,no,no,cellular,mar,1,89,success,yes
4939,46,technician,966,yes,yes,cellular,aug,2,-1,unknown,no
2100,49,admin.,7426,no,no,telephone,nov,2,-1,unknown,no
2363,36,blue-collar,679,yes,yes,cellular,may,1,-1,unknown,no
79,34,blue-collar,157,yes,no,cellular,jul,2,-1,unknown,no
2022,20,student,6991,no,no,cellular,aug,2,-1,unknown,yes
3721,30,management,552,yes,no,cellular,aug,2,-1,unknown,no
