,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
3629,35,technician,703,no,no,cellular,apr,1,-1,unknown,no
1937,39,management,0,no,no,unknown,may,8,-1,unknown,no
2302,33,technician,3572,yes,no,cellular,nov,2,-1,unknown,no
6985,53,management,2894,yes,no,cellular,may,1,-1,unknown,no
1825,38,blue-collar,0,no,no,unknown,jun,2,-1,unknown,no
4677,52,admin.,299,no,no,cellular,nov,4,-1,unknown,no
1991,42,blue-collar,490,yes,no,unknown,may,2,-1,unknown,no
4017,37,management,630,no,no,cellular,apr,1,87,success,yes
4233,36,services,0,yes,no,cellular,may,1,-1,unknown,no
4419,26,management,3178,no,no,cellular,jun,1,-1,unknown,no
6158,33,student,2321,no,no,cellular,apr,2,381,failure,no
1548,45,blue-collar,844,no,no,unknown,jun,3,-1,unknown,yes
1711,38,blue-collar,292,yes,yes,unknown,jun,2,-1,unknown,no
3076,45,admin.,5021,no,no,cellular,jan,1,-1,unknown,yes
5512,26,blue-collar,249,yes,no,cellular,jan,3,262,failure,no
139,45,technician,0,yes,no,cellular,dec,1,-1,unknown,yes
2949,37,technician,157,yes,no,unknown,may,2,-1,unknown,no
6463,59,technician,259,no,no,cellular,jun,1,89,success,yes
1623,32,management,169,no,no,telephone,aug,2,-1,unknown,yes
6642,42,entrepreneur,335,yes,no,cellular,may,1,-1,unknown,yes
4567,30,admin.,4448,no,no,cellular,feb,8,-1,unknown,yes
3494,38,admin.,0,yes,yes,cellular,apr,2,-1,unknown,yes
2354,37,entrepreneur,4798,yes,no,unknown,may,2,-1,unknown,no
5959,26,services,1140,yes,no,cellular,feb,2,-1,unknown,yes
1244,49,services,823,no,no,cellular,aug,4,-1,unknown,yes
7389,56,blue-collar,827,yes,no,telephone,may,4,-1,unknown,yes
4930,54,retired,52,no,no,unknown,jun,3,-1,unknown,no
6662,36,admin.,1815,no,no,unknown,jun,1,-1,unknown,no
2390,26,admin.,3415,no,no,cellular,apr,1,-1,unknown,yes
4745,53,management,232,yes,no,telephone,jan,1,-1,unknown,no
4072,26,unemployed,3511,no,no,cellular,apr,2,-1,unknown,yes
3750,56,blue-collar,3498,no,no,cellular,apr,2,-1,unknown,yes
5613,61,management,997,no,no,cellular,jun,1,104,success,yes
2538,37,services,1970,yes,no,telephone,nov,1,-1,unknown,yes
3857,47,technician,1101,yes,no,cellular,jul,3,-1,unknown,yes
7074,38,management,1463,yes,no,cellular,aug,4,-1,unknown,no
2746,37,blue-collar,217,no,no,cellular,sep,2,-1,unknown,yes
2261,34,management,589,no,no,cellular,sep,1,44,other,yes
4497,30,entrepreneur,-346,yes,yes,cellular,jul,1,-1,unknown,no
5398,26,student,5296,no,no,cellular,mar,1,205,failure,yes
5215,47,technician,0,yes,no,cellular,may,1,-1,unknown,no
7102,41,self-employed,0,no,no,cellular,nov,1,-1,unknown,no
4423,32,management,11,yes,yes,cellular,may,1,-1,unknown,no
4236,34,management,417,yes,no,cellular,aug,1,174,failure,yes
1266,26,blue-collar,-887,yes,no,cellular,may,2,-1,unknown,yes
7340,31,management,453,yes,no,unknown,may,2,-1,unknown,no
5746,30,services,803,no,no,cellular,apr,1,-1,unknown,no
3581,27,student,1134,no,no,cellular,oct,1,183,success,yes
3734,32,housemaid,-613,yes,no,cellular,apr,2,-1,unknown,no
