,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,Anomaly,Anomaly_Score,deposit
4749,53,management,232,yes,no,telephone,jan,1,-1,unknown,0,5.843726,no
6592,51,blue-collar,1432,no,no,cellular,jul,1,-1,unknown,0,2.360027,no
5818,32,management,607,yes,no,unknown,jun,5,-1,unknown,0,2.5517397,yes
2093,32,admin.,-32,no,no,cellular,jan,1,185,other,0,6.1555047,no
4214,27,blue-collar,535,no,no,cellular,may,1,87,success,0,4.3211126,yes
2162,51,housemaid,1093,no,yes,unknown,jun,1,-1,unknown,0,3.9488757,no
2311,32,blue-collar,-1,yes,no,unknown,may,1,-1,unknown,0,1.0965176,yes
3399,32,management,393,no,no,cellular,jan,2,-1,unknown,0,3.6132448,no
2798,31,technician,268,no,no,unknown,may,2,-1,unknown,0,2.1989126,no
911,26,technician,-119,no,yes,cellular,jul,5,-1,unknown,0,3.1625118,yes
280,34,unemployed,200,yes,no,unknown,may,6,-1,unknown,0,4.757632,no
2478,37,management,3723,no,no,cellular,may,1,-1,unknown,0,2.3294713,yes
2171,48,technician,113,no,yes,cellular,jul,1,-1,unknown,0,2.6786032,no
3271,41,management,0,yes,no,unknown,may,1,-1,unknown,0,0.69979775,no
4372,55,management,568,no,no,cellular,aug,10,-1,unknown,0,2.52458,yes
3371,56,blue-collar,1137,no,no,telephone,jul,1,-1,unknown,0,4.438265,yes
6310,37,technician,0,no,no,unknown,jun,1,-1,unknown,0,2.1762772,no
3948,40,admin.,100,yes,no,cellular,aug,1,461,success,0,4.925938,yes
1207,22,student,1522,no,no,cellular,oct,2,-1,unknown,0,6.2034645,yes
250,37,blue-collar,0,yes,no,cellular,apr,1,-1,unknown,0,1.5924106,no
4289,59,services,739,no,no,cellular,jan,1,-1,unknown,0,5.0000763,yes
4256,56,blue-collar,3021,no,no,unknown,jun,2,-1,unknown,0,1.5654411,no
2680,37,blue-collar,1322,yes,no,cellular,nov,8,185,other,0,5.373432,no
3278,48,management,2892,no,no,cellular,jul,1,385,success,0,4.7315154,yes
3826,37,unemployed,1236,no,no,cellular,jul,2,-1,unknown,0,4.390353,no
6600,41,blue-collar,2689,yes,no,cellular,apr,1,-1,unknown,0,2.2051737,yes
4575,42,housemaid,16,no,no,unknown,jun,1,-1,unknown,0,3.3840973,no
6103,32,management,2016,no,no,cellular,apr,1,348,success,0,4.656017,yes
7337,33,services,1082,yes,yes,cellular,nov,1,-1,unknown,0,4.4044127,no
6176,43,blue-collar,3917,no,no,cellular,jun,2,93,success,0,4.243824,yes
1479,49,blue-collar,-9,yes,yes,unknown,may,1,-1,unknown,0,1.9581567,no
2441,25,technician,86,no,yes,cellular,jul,2,-1,unknown,0,3.0037236,no
815,56,management,442,no,no,unknown,may,3,-1,unknown,0,2.3412383,no
505,38,technician,1,yes,no,cellular,nov,5,199,success,0,4.8688793,no
1262,33,admin.,572,yes,no,cellular,apr,1,74,failure,0,4.4107485,yes
1171,43,services,5571,no,no,unknown,jun,1,-1,unknown,0,2.6922224,no
1227,36,technician,-393,no,no,telephone,aug,4,-1,unknown,0,4.980346,no
6789,34,management,362,yes,no,unknown,may,3,-1,unknown,0,0.7597207,no
6700,30,management,1221,yes,no,telephone,jul,4,-1,unknown,0,4.6534753,yes
6043,30,technician,484,yes,no,unknown,may,1,-1,unknown,0,2.1648245,yes
1236,76,retired,4112,no,no,telephone,oct,2,-1,unknown,0,5.3803887,yes
1293,40,management,406,yes,no,unknown,jun,2,-1,unknown,0,2.266175,yes
6435,35,services,1239,yes,no,cellular,may,2,347,failure,0,4.302865,no
4664,42,admin.,-306,yes,no,cellular,aug,1,459,success,0,4.885874,yes
1888,38,entrepreneur,2139,yes,no,unknown,may,1,-1,unknown,0,3.9638543,no
3015,42,services,1165,yes,no,cellular,may,6,-1,unknown,0,2.155121,no
3168,39,technician,1293,no,no,cellular,jun,2,-1,unknown,0,3.5958483,yes
4022,19,student,302,no,no,cellular,jul,1,-1,unknown,0,4.2029524,yes
2808,39,blue-collar,62,yes,no,cellular,may,3,-1,unknown,0,1.2269464,yes
4821,26,blue-collar,5795,yes,no,cellular,may,2,-1,unknown,0,2.1784778,yes
3548,30,self-employed,192,no,no,cellular,jul,1,-1,unknown,0,4.1951632,no
3532,29,student,314,no,no,cellular,apr,1,-1,unknown,0,4.6462,yes
7293,66,housemaid,1929,no,no,cellular,feb,1,-1,unknown,0,5.6990595,no
2546,36,unemployed,154,no,no,cellular,aug,7,-1,unknown,0,4.7484074,yes
178,45,technician,2403,no,no,cellular,nov,1,-1,unknown,0,2.41376,no
3436,55,blue-collar,467,no,no,cellular,aug,5,-1,unknown,0,2.3515093,no
2788,32,admin.,620,no,no,cellular,apr,2,343,failure,0,4.6088,no
4036,65,retired,1004,no,no,cellular,oct,1,-1,unknown,0,4.723688,yes
5290,29,admin.,900,yes,no,unknown,may,1,-1,unknown,0,0.7275078,no
3742,45,admin.,59,yes,no,cellular,jul,8,-1,unknown,0,2.9854958,yes
4287,48,management,17964,yes,no,cellular,sep,1,98,success,0,6.5502205,yes
5928,39,blue-collar,284,yes,yes,cellular,apr,2,318,failure,0,4.6943374,no
6345,32,management,311,no,no,unknown,may,2,-1,unknown,0,3.034752,yes
5048,49,admin.,2501,yes,no,unknown,may,2,-1,unknown,0,1.2547584,no
2620,32,technician,-300,no,no,cellular,aug,9,-1,unknown,0,2.1300132,no
5801,52,retired,293,no,no,unknown,jun,1,-1,unknown,0,3.5936794,yes
7180,40,services,1305,no,no,cellular,jul,1,-1,unknown,0,2.2277756,no
1393,30,management,10884,no,no,cellular,may,2,-1,unknown,0,3.8339453,yes
5213,47,management,1147,no,no,cellular,jun,1,95,failure,0,4.3720016,yes
2732,55,management,559,no,no,cellular,jan,2,-1,unknown,0,3.6740148,no
6058,30,self-employed,1031,no,no,unknown,oct,1,-1,unknown,0,6.430659,no
6739,58,retired,19,no,yes,cellular,jul,3,-1,unknown,0,4.5168433,no
2666,45,blue-collar,96,yes,no,cellular,apr,3,256,failure,0,4.207764,yes
3352,29,management,293,yes,no,unknown,may,2,-1,unknown,0,0.8616235,no
4789,48,admin.,156,no,no,cellular,aug,1,-1,unknown,0,2.625992,yes
4883,53,management,2679,no,no,cellular,nov,3,-1,unknown,0,2.2266722,yes
1818,33,admin.,1437,yes,no,unknown,may,1,-1,unknown,0,0.70969456,no
1936,26,student,620,no,no,cellular,may,1,94,success,0,4.6793184,yes
418,57,blue-collar,3109,no,no,cellular,jun,2,-1,unknown,0,3.9208326,yes
4765,50,technician,416,yes,no,unknown,jun,5,-1,unknown,0,3.1426697,yes
3845,40,blue-collar,830,yes,no,cellular,may,3,370,failure,0,2.4897869,yes
5851,30,blue-collar,80,yes,yes,cellular,may,1,337,failure,0,3.4968574,no
4068,27,services,453,no,no,cellular,apr,2,-1,unknown,0,4.4925976,yes
24,29,blue-collar,15,no,no,cellular,jun,1,-1,unknown,0,3.8623772,no
253,59,retired,1035,yes,yes,cellular,aug,1,-1,unknown,0,4.268723,no
6196,38,services,968,yes,no,cellular,apr,1,-1,unknown,0,4.3934855,no
1922,53,technician,480,no,no,unknown,jun,2,-1,unknown,0,2.4795034,yes
1622,36,blue-collar,219,yes,yes,cellular,may,2,347,failure,0,3.3819392,no
3765,38,blue-collar,3598,no,no,unknown,jun,1,-1,unknown,0,1.532036,no
3622,34,admin.,1467,yes,no,cellular,apr,1,332,failure,0,4.219303,no
2292,50,management,11528,yes,no,unknown,may,1,-1,unknown,0,3.798762,no
897,34,admin.,0,yes,no,cellular,may,1,-1,unknown,0,2.0472891,no
3589,37,technician,1130,no,no,cellular,feb,1,-1,unknown,0,2.890877,yes
243,40,management,37,yes,no,unknown,may,1,-1,unknown,0,0.6598817,no
3327,57,management,1218,yes,no,cellular,jul,6,-1,unknown,0,2.1799839,no
3654,33,management,5,yes,no,unknown,may,1,-1,unknown,0,2.2066536,yes
4259,37,admin.,1207,yes,no,telephone,apr,2,138,success,0,6.435285,yes
1096,52,blue-collar,665,yes,no,unknown,may,4,-1,unknown,0,1.1099963,no
510,32,self-employed,1423,no,no,cellular,aug,4,-1,unknown,0,3.7643871,yes
1482,30,blue-collar,501,yes,yes,cellular,nov,1,177,failure,0,4.920807,yes
1663,31,self-employed,168,no,no,cellular,feb,2,-1,unknown,0,5.1040354,yes
7322,33,admin.,69,no,yes,cellular,may,2,-1,unknown,0,3.7315636,no
1446,54,admin.,1693,no,no,cellular,apr,1,87,other,0,5.45901,yes
1215,43,management,1133,yes,no,cellular,may,1,-1,unknown,0,2.0665174,no
6609,34,admin.,920,no,no,cellular,may,3,179,success,0,4.2567425,yes
432,34,management,3301,yes,no,cellular,jun,2,227,failure,0,4.5334563,yes
2594,30,admin.,4,no,no,unknown,jun,2,-1,unknown,0,2.7091222,no
5600,38,blue-collar,362,yes,no,unknown,may,5,-1,unknown,0,1.1893934,no
5823,44,blue-collar,579,yes,no,unknown,may,2,-1,unknown,0,0.45713398,no
2904,37,management,3737,no,no,cellular,jul,1,-1,unknown,0,2.3260064,yes
480,44,services,618,no,no,cellular,may,1,-1,unknown,0,2.8939629,yes
2506,32,admin.,-273,yes,no,cellular,may,1,-1,unknown,0,2.0381658,no
594,33,management,296,no,no,cellular,jul,2,-1,unknown,0,2.0798643,no
1674,52,admin.,872,yes,no,telephone,may,6,335,other,0,6.4795017,no
1153,32,management,769,no,no,cellular,aug,2,-1,unknown,0,1.078375,yes
7079,30,technician,394,no,no,cellular,aug,13,-1,unknown,0,3.036188,no
5536,35,blue-collar,-276,yes,no,cellular,may,1,-1,unknown,0,1.4164004,yes
3806,28,technician,598,yes,no,cellular,mar,1,288,failure,0,6.2451324,yes
1052,31,technician,147,yes,no,unknown,may,1,-1,unknown,0,0.6226756,no
7230,25,student,10,yes,no,cellular,jul,4,-1,unknown,0,4.655413,yes
6376,38,services,173,yes,no,unknown,may,2,-1,unknown,0,0.69519544,no
3470,35,technician,518,yes,no,cellular,apr,1,-1,unknown,0,2.1454694,yes
498,37,technician,-59,yes,no,cellular,jul,1,-1,unknown,0,2.051649,no
3843,41,entrepreneur,1588,yes,yes,unknown,jun,8,-1,unknown,0,4.7528744,no
924,39,technician,-1451,yes,yes,cellular,jul,5,-1,unknown,0,3.0388074,no
951,26,blue-collar,895,yes,no,cellular,feb,3,-1,unknown,0,3.9896035,no
3030,34,entrepreneur,842,yes,no,cellular,may,2,-1,unknown,0,3.8082714,no
3863,57,retired,720,no,no,telephone,feb,4,-1,unknown,0,4.8033447,yes
6730,27,student,213,no,no,cellular,mar,1,-1,unknown,0,6.643055,yes
1248,67,retired,2391,no,no,cellular,jun,6,186,other,0,6.2732344,yes
6852,36,blue-collar,218,yes,no,cellular,may,6,-1,unknown,0,1.9923999,yes
223,54,management,1303,no,no,cellular,feb,1,-1,unknown,0,2.178657,yes
6461,55,management,3848,yes,no,cellular,apr,2,-1,unknown,0,2.9176097,yes
3337,48,admin.,-407,yes,no,cellular,may,2,352,failure,0,3.0733733,no
2863,35,blue-collar,147,yes,no,cellular,may,1,337,failure,0,2.1823514,no
7023,31,admin.,410,no,no,cellular,apr,1,-1,unknown,0,2.1905375,yes
2569,39,management,691,yes,yes,cellular,apr,1,255,failure,0,4.1800346,no
2043,77,retired,7802,no,no,telephone,may,1,92,success,0,6.1004267,yes
5209,56,services,1989,no,no,cellular,feb,2,281,failure,0,5.236301,yes
2697,28,admin.,1104,yes,no,cellular,jul,7,-1,unknown,0,2.5312061,no
1214,38,management,547,yes,no,unknown,may,4,-1,unknown,0,0.9462719,no
2189,50,unemployed,3357,no,no,cellular,jun,4,-1,unknown,0,4.5731306,yes
41,34,blue-collar,0,yes,no,cellular,may,1,-1,unknown,0,0.8727744,no
1795,41,management,25,yes,yes,cellular,mar,2,-1,unknown,0,4.025609,yes
3400,40,technician,4736,yes,no,cellular,feb,2,-1,unknown,0,3.291378,yes
6509,40,technician,277,yes,no,unknown,may,2,-1,unknown,0,0.6289256,no
877,34,blue-collar,-745,yes,yes,cellular,jul,2,-1,unknown,0,2.5064862,no
1885,32,management,974,yes,no,unknown,jun,1,-1,unknown,0,2.1983151,no
3832,30,blue-collar,971,yes,no,cellular,apr,1,317,other,0,4.3930154,no
4086,35,self-employed,71,no,no,cellular,jun,1,-1,unknown,0,4.408447,yes
6928,59,technician,309,no,yes,cellular,jul,5,-1,unknown,0,3.2402377,no
6257,78,retired,8556,no,no,telephone,apr,2,-1,unknown,0,5.3123226,yes
988,39,blue-collar,2226,yes,no,unknown,may,1,-1,unknown,0,0.7011283,no
3395,38,management,690,yes,no,unknown,may,1,-1,unknown,0,0.5952894,no
4524,48,blue-collar,1670,no,no,unknown,jun,1,-1,unknown,0,1.0982589,no
6976,29,technician,767,yes,no,cellular,feb,1,-1,unknown,0,3.1215065,no
1767,32,technician,1212,yes,no,unknown,may,2,-1,unknown,0,0.53019667,no
2167,58,retired,999,no,no,cellular,jul,6,-1,unknown,0,4.221288,no
3141,48,entrepreneur,0,no,yes,cellular,jul,2,-1,unknown,0,4.153721,yes
6524,35,blue-collar,260,yes,no,telephone,may,6,-1,unknown,0,4.461866,no
2637,53,self-employed,290,no,yes,cellular,jul,3,-1,unknown,0,4.522868,no
1629,24,student,782,no,no,cellular,may,7,91,other,0,6.1052456,no
997,36,entrepreneur,546,no,no,cellular,feb,3,-1,unknown,0,5.3986387,no
7099,55,management,204,yes,no,cellular,jul,2,-1,unknown,0,2.231449,yes
7104,36,technician,3158,yes,no,cellular,jun,2,-1,unknown,0,3.6578891,yes
2010,45,management,786,no,no,cellular,sep,3,-1,unknown,0,4.1687913,yes
6178,26,services,531,yes,yes,cellular,feb,1,-1,unknown,0,4.8049226,no
3555,37,blue-collar,197,yes,no,unknown,may,3,-1,unknown,0,0.51023024,no
1208,28,unemployed,-353,yes,no,unknown,may,3,-1,unknown,0,4.694167,no
1368,52,management,1227,no,no,cellular,aug,4,-1,unknown,0,1.4094208,yes
5640,35,management,687,yes,no,unknown,may,2,-1,unknown,0,0.5732359,no
5409,46,admin.,70,yes,no,cellular,mar,2,-1,unknown,0,4.6083355,yes
1708,30,admin.,311,no,no,cellular,mar,2,-1,unknown,0,4.0908675,yes
6539,38,services,-314,yes,no,unknown,may,2,-1,unknown,0,0.7008599,no
5196,24,services,638,yes,yes,cellular,may,3,-1,unknown,0,3.7209573,yes
6233,49,technician,972,no,no,cellular,nov,3,175,failure,0,4.0116496,no
2382,55,admin.,2038,no,no,cellular,apr,1,-1,unknown,0,2.9875367,yes
3185,38,self-employed,173,no,no,cellular,aug,4,-1,unknown,0,3.578033,no
679,29,blue-collar,7,yes,no,cellular,may,3,-1,unknown,0,1.1288378,no
5046,36,technician,432,yes,no,cellular,may,3,255,failure,0,3.5107884,no
