,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
6532,30,entrepreneur,265,yes,yes,unknown,jun,10,-1,unknown,no
5862,48,blue-collar,3304,no,no,unknown,jun,3,-1,unknown,no
2123,42,services,83,no,no,cellular,may,5,358,failure,no
1929,43,blue-collar,794,yes,no,cellular,may,3,-1,unknown,no
1405,40,technician,47,yes,no,cellular,may,1,365,failure,no
1365,52,admin.,-462,yes,no,cellular,feb,5,-1,unknown,no
3402,43,admin.,729,yes,no,unknown,may,2,-1,unknown,no
7059,36,blue-collar,599,yes,no,unknown,may,2,-1,unknown,yes
3792,32,technician,3297,no,no,cellular,aug,2,-1,unknown,no
6101,45,services,318,no,no,cellular,jul,2,-1,unknown,no
4811,32,services,310,yes,no,unknown,may,1,-1,unknown,no
6405,45,management,1529,no,no,cellular,jun,1,-1,unknown,no
4215,57,management,372,no,no,cellular,nov,3,-1,unknown,yes
2873,66,retired,780,no,no,cellular,feb,4,-1,unknown,no
2299,40,admin.,50,no,no,cellular,may,1,-1,unknown,yes
2850,31,technician,11,no,no,cellular,aug,2,-1,unknown,no
187,45,technician,2403,no,no,cellular,nov,1,-1,unknown,no
3799,43,admin.,0,no,no,unknown,jun,12,-1,unknown,no
6942,36,management,203,no,no,cellular,jan,1,88,success,yes
4740,41,blue-collar,246,no,no,unknown,jun,3,-1,unknown,yes
1883,39,blue-collar,39,yes,no,unknown,jun,6,-1,unknown,no
5124,33,admin.,920,no,no,cellular,aug,1,105,success,no
3451,27,self-employed,10005,yes,no,cellular,apr,3,271,failure,no
5152,29,technician,544,yes,no,unknown,may,1,-1,unknown,no
5079,28,services,168,yes,no,cellular,may,1,-1,unknown,no
7339,52,technician,337,yes,no,cellular,may,1,261,failure,no
4582,51,housemaid,108,no,no,unknown,jun,2,-1,unknown,no
6641,27,admin.,861,no,no,cellular,jun,4,-1,unknown,yes
4733,43,technician,0,yes,no,cellular,may,2,342,failure,no
3209,35,admin.,182,yes,no,unknown,jun,1,-1,unknown,no
6771,30,admin.,482,no,no,cellular,apr,1,-1,unknown,no
2287,37,management,240,no,no,unknown,jun,1,-1,unknown,yes
2775,72,retired,2,no,no,cellular,aug,2,-1,unknown,yes
5338,43,blue-collar,3550,no,no,cellular,nov,1,-1,unknown,yes
4342,60,retired,-639,yes,no,cellular,may,1,-1,unknown,yes
4538,46,management,2044,no,no,telephone,feb,1,-1,unknown,no
307,31,technician,969,no,no,cellular,jun,1,-1,unknown,no
7806,53,management,13901,yes,no,cellular,nov,1,-1,unknown,no
5083,27,admin.,346,no,no,cellular,oct,1,-1,unknown,yes
3385,70,retired,3782,no,no,cellular,mar,1,-1,unknown,no
5608,31,self-employed,144,yes,no,unknown,may,1,-1,unknown,yes
220,49,management,276,no,no,cellular,aug,5,-1,unknown,no
1187,53,technician,7984,yes,no,cellular,feb,1,-1,unknown,no
361,32,management,2667,yes,no,cellular,mar,1,181,failure,yes
3403,40,admin.,1248,no,no,unknown,jun,2,-1,unknown,yes
100,39,unemployed,-114,yes,no,cellular,feb,1,-1,unknown,yes
1310,48,admin.,0,yes,no,cellular,may,1,168,failure,no
2477,31,blue-collar,33,yes,no,cellular,jul,2,-1,unknown,yes
6811,48,management,1744,no,no,unknown,jun,1,-1,unknown,no
