,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
3383,46,self-employed,2421,no,no,cellular,nov,1,100,failure,yes
4902,32,admin.,1604,no,yes,cellular,jul,1,-1,unknown,yes
656,31,technician,1166,yes,no,unknown,jun,1,-1,unknown,no
3797,29,technician,590,no,no,cellular,may,1,-1,unknown,yes
5154,51,entrepreneur,538,no,no,cellular,nov,4,-1,unknown,yes
1561,60,blue-collar,104,yes,no,unknown,may,1,-1,unknown,no
2634,30,technician,4,yes,no,cellular,may,5,-1,unknown,no
3991,39,housemaid,109,yes,no,unknown,may,3,-1,unknown,no
5267,38,technician,90,yes,yes,unknown,may,2,-1,unknown,no
3801,33,services,114,no,yes,unknown,jul,1,-1,unknown,yes
6678,34,technician,440,yes,no,cellular,may,2,345,failure,no
7270,32,technician,-1,yes,no,cellular,may,1,-1,unknown,no
814,32,services,2615,no,no,cellular,nov,1,-1,unknown,yes
7382,55,retired,0,no,no,cellular,aug,1,-1,unknown,yes
1039,40,blue-collar,273,yes,no,unknown,jun,1,-1,unknown,no
1396,30,management,10884,no,no,cellular,may,2,-1,unknown,yes
2410,34,services,258,yes,no,unknown,jun,2,-1,unknown,no
2192,48,management,0,no,no,unknown,jun,3,-1,unknown,no
1512,60,retired,404,no,no,cellular,mar,2,196,failure,yes
2551,68,retired,2812,no,no,cellular,feb,2,181,failure,yes
117,57,entrepreneur,1153,yes,yes,unknown,jun,6,-1,unknown,no
1575,48,blue-collar,476,no,no,cellular,aug,3,-1,unknown,yes
5523,27,blue-collar,-413,no,yes,unknown,jun,6,-1,unknown,yes
2547,49,blue-collar,-454,yes,no,cellular,may,1,-1,unknown,yes
2083,42,management,6060,yes,no,cellular,apr,1,350,failure,yes
579,55,management,0,no,no,cellular,nov,3,187,failure,no
6939,29,self-employed,1579,no,no,cellular,oct,1,92,success,yes
3428,39,entrepreneur,350,yes,no,cellular,jul,2,-1,unknown,no
4497,31,admin.,89,no,no,unknown,may,3,-1,unknown,no
7130,59,retired,417,yes,no,cellular,may,2,-1,unknown,no
4507,32,technician,540,no,yes,cellular,jan,1,-1,unknown,yes
1552,29,technician,0,yes,no,cellular,may,2,337,failure,yes
740,50,management,19,no,yes,cellular,jul,1,-1,unknown,no
5969,35,admin.,2374,yes,no,cellular,aug,2,183,success,yes
5753,30,technician,178,no,no,cellular,jul,3,-1,unknown,yes
6474,26,management,47,yes,no,cellular,may,1,-1,unknown,no
5692,28,technician,313,no,no,cellular,feb,2,-1,unknown,yes
80,57,retired,427,no,no,cellular,jan,1,-1,unknown,no
3250,32,management,7290,yes,no,cellular,may,1,-1,unknown,yes
3002,29,self-employed,970,yes,no,cellular,may,1,-1,unknown,no
6144,27,management,3104,yes,no,unknown,may,2,-1,unknown,no
1330,48,management,157,no,no,cellular,jan,4,-1,unknown,yes
1821,55,management,9756,yes,no,cellular,jun,2,95,other,yes
3365,33,technician,1699,no,no,cellular,aug,1,-1,unknown,yes
1217,38,management,547,yes,no,unknown,may,4,-1,unknown,no
6457,48,management,1744,no,no,unknown,jun,1,-1,unknown,no
4440,60,admin.,106,no,no,cellular,aug,3,91,success,yes
1104,31,admin.,1130,yes,no,cellular,jul,5,-1,unknown,no
1533,42,admin.,214,yes,no,unknown,may,24,-1,unknown,no
3972,53,management,2693,no,no,cellular,mar,1,104,failure,yes
4970,69,retired,0,no,no,cellular,jul,1,90,success,yes
2071,56,admin.,1854,yes,no,telephone,may,1,342,failure,no
5318,44,self-employed,414,yes,no,cellular,feb,1,272,other,no
1174,43,services,5571,no,no,unknown,jun,1,-1,unknown,no
1228,32,management,1088,yes,no,cellular,apr,1,363,success,yes
7034,40,blue-collar,1954,no,no,cellular,jul,2,-1,unknown,yes
1256,34,technician,122,no,no,unknown,may,5,-1,unknown,no
1617,37,technician,-242,yes,no,cellular,aug,6,-1,unknown,yes
2080,34,services,1182,yes,no,unknown,may,1,-1,unknown,no
5839,49,management,1,no,no,telephone,may,3,175,success,yes
859,55,technician,517,yes,yes,cellular,feb,3,263,failure,no
364,31,management,0,no,no,cellular,aug,2,-1,unknown,no
5096,40,services,1836,yes,no,cellular,may,2,-1,unknown,yes
4931,35,services,1279,yes,no,unknown,jun,5,-1,unknown,no
5695,71,retired,2600,no,no,cellular,aug,1,-1,unknown,yes
5488,34,admin.,260,no,no,cellular,jan,1,-1,unknown,no
1519,45,blue-collar,-207,no,no,cellular,jul,2,-1,unknown,yes
5321,57,management,6468,yes,no,cellular,sep,1,157,failure,yes
4424,31,technician,318,no,no,cellular,dec,1,-1,unknown,yes
2222,57,blue-collar,807,yes,no,unknown,may,2,-1,unknown,no
7243,33,admin.,891,no,no,cellular,may,2,-1,unknown,yes
3457,52,self-employed,385,no,yes,cellular,aug,4,-1,unknown,no
5536,38,blue-collar,1627,no,no,unknown,jun,9,-1,unknown,yes
3445,27,blue-collar,317,yes,no,unknown,may,10,-1,unknown,no
3780,37,services,775,no,yes,cellular,jul,1,-1,unknown,yes
6068,59,entrepreneur,1728,no,no,cellular,jul,2,-1,unknown,no
3340,55,blue-collar,3485,no,no,cellular,aug,4,-1,unknown,yes
4965,47,blue-collar,3237,yes,no,unknown,may,3,-1,unknown,no
2828,37,entrepreneur,7944,no,no,cellular,nov,1,-1,unknown,no
6670,56,admin.,5310,no,no,unknown,jun,1,-1,unknown,no
6140,34,technician,161,no,yes,cellular,aug,2,-1,unknown,no
5984,54,technician,10185,no,no,cellular,feb,1,186,success,yes
1844,33,management,561,no,no,cellular,apr,1,-1,unknown,no
4854,38,blue-collar,376,yes,no,unknown,may,1,-1,unknown,no
2156,35,blue-collar,0,yes,no,cellular,feb,3,280,other,no
2267,24,management,867,yes,no,unknown,jun,10,-1,unknown,yes
3666,49,technician,486,no,no,telephone,jul,5,-1,unknown,no
5573,34,admin.,66,yes,no,unknown,may,1,-1,unknown,no
4309,46,management,2044,no,no,telephone,feb,1,-1,unknown,no
5762,43,self-employed,3003,no,no,cellular,aug,3,-1,unknown,no
5849,67,retired,701,no,no,cellular,aug,2,-1,unknown,yes
3995,54,services,0,no,no,cellular,sep,1,-1,unknown,yes
743,38,technician,1711,no,no,cellular,apr,3,202,success,yes
3792,38,self-employed,746,no,no,unknown,jun,3,-1,unknown,no
3661,32,services,4612,yes,no,cellular,jul,4,-1,unknown,no
3536,47,technician,736,no,no,cellular,jul,2,-1,unknown,no
218,33,management,2485,yes,no,cellular,nov,2,-1,unknown,no
1972,49,management,3842,no,no,cellular,apr,1,186,failure,no
856,60,admin.,738,no,no,unknown,may,3,-1,unknown,no
102,56,entrepreneur,-124,yes,no,unknown,may,5,-1,unknown,no
5295,27,management,-713,yes,no,unknown,jun,2,-1,unknown,yes
4767,50,technician,416,yes,no,unknown,jun,5,-1,unknown,yes
5899,58,retired,565,no,no,telephone,jul,1,-1,unknown,yes
3714,55,management,1504,yes,no,cellular,may,2,-1,unknown,yes
6000,36,blue-collar,79,no,no,unknown,jun,3,-1,unknown,no
6513,41,unemployed,0,no,no,cellular,apr,1,181,success,yes
7326,31,technician,4888,yes,no,telephone,may,4,166,failure,no
4318,53,management,12,no,no,cellular,aug,10,-1,unknown,no
6148,34,technician,1,no,no,cellular,aug,2,-1,unknown,yes
636,27,blue-collar,106,yes,no,unknown,may,5,-1,unknown,no
849,55,services,244,yes,no,cellular,may,1,-1,unknown,no
3504,26,technician,2002,no,no,cellular,jan,1,-1,unknown,yes
4454,37,admin.,96,no,no,cellular,feb,1,182,success,no
2570,44,technician,2033,no,no,cellular,sep,1,99,failure,yes
