,age,job,balance,contact,month,campaign,pdays,poutcome,education,day,duration,previous,deposit
6488,57,admin.,808,cellular,jul,3,-1,unknown,secondary,14,417,0,0
1937,38,blue-collar,-56,unknown,jun,2,-1,unknown,secondary,6,247,0,0
1541,35,technician,6,cellular,nov,1,-1,unknown,tertiary,18,47,0,0
2167,58,retired,999,cellular,jul,6,-1,unknown,primary,25,188,0,0
7265,44,housemaid,299,cellular,nov,1,-1,unknown,secondary,20,186,0,0
1247,27,services,223,cellular,may,2,-1,unknown,secondary,13,297,0,0
899,33,management,1778,cellular,may,1,103,success,tertiary,26,134,1,0
3917,38,management,327,cellular,jul,5,-1,unknown,tertiary,9,556,0,1
5919,43,management,3578,cellular,jan,2,-1,unknown,tertiary,29,376,0,0
3734,29,management,54,unknown,may,3,-1,unknown,tertiary,26,257,0,0
6123,34,technician,161,cellular,aug,2,-1,unknown,secondary,8,61,0,0
7100,20,blue-collar,423,cellular,apr,1,-1,unknown,secondary,16,498,0,1
3971,58,retired,5435,unknown,may,1,-1,unknown,secondary,6,118,0,0
3436,46,unemployed,3354,cellular,nov,1,174,success,secondary,19,522,1,1
2021,53,admin.,1151,unknown,may,1,-1,unknown,secondary,5,412,0,0
5948,29,admin.,265,cellular,nov,1,184,failure,secondary,25,414,1,1
2949,37,technician,157,unknown,may,2,-1,unknown,secondary,7,238,0,0
2412,40,technician,2338,cellular,oct,2,-1,unknown,secondary,16,717,0,1
1776,46,management,-130,cellular,mar,2,-1,unknown,tertiary,24,144,0,1
3825,37,blue-collar,1330,cellular,apr,1,-1,unknown,secondary,30,390,0,1
802,31,self-employed,2589,cellular,nov,1,-1,unknown,tertiary,21,614,0,1
1200,33,services,395,cellular,jul,6,-1,unknown,tertiary,23,1359,0,1
6316,51,management,1202,cellular,nov,1,-1,unknown,tertiary,18,99,0,0
2462,59,management,296,cellular,jul,3,-1,unknown,tertiary,15,805,0,1
6838,70,retired,6422,cellular,mar,1,-1,unknown,secondary,10,122,0,1
7319,37,unemployed,1291,cellular,aug,1,97,success,tertiary,5,150,2,1
671,31,management,596,cellular,aug,4,-1,unknown,tertiary,12,192,0,0
5745,55,management,179,unknown,jun,1,-1,unknown,unknown,19,97,0,0
2097,33,technician,2044,cellular,may,3,-1,unknown,secondary,4,532,0,1
