,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,day,duration,previous,deposit
3468,44,technician,1262,yes,no,unknown,may,11,-1,unknown,divorced,secondary,26,788,0,1
7340,29,management,265,no,no,cellular,may,1,-1,unknown,single,tertiary,22,491,0,1
6871,37,technician,0,yes,yes,cellular,jul,3,-1,unknown,married,secondary,15,101,0,0
6448,33,technician,522,no,yes,cellular,jul,4,-1,unknown,divorced,secondary,7,559,0,0
7206,46,technician,1353,no,no,cellular,aug,5,-1,unknown,married,secondary,18,528,0,1
5411,60,admin.,-41,yes,yes,cellular,feb,1,262,failure,divorced,secondary,6,1658,1,1
4715,37,services,483,yes,no,cellular,jan,1,-1,unknown,married,secondary,30,188,0,0
4337,31,admin.,212,yes,no,cellular,jul,3,-1,unknown,married,secondary,18,191,0,0
4759,40,management,4539,no,no,cellular,jul,3,439,failure,married,tertiary,13,256,1,1
1490,55,entrepreneur,538,yes,no,cellular,aug,2,-1,unknown,divorced,secondary,7,353,0,1
309,50,management,-470,yes,no,cellular,nov,2,160,failure,married,tertiary,19,130,1,0
6672,46,management,385,yes,no,unknown,may,4,-1,unknown,married,tertiary,29,52,0,0
4429,46,entrepreneur,122,no,no,cellular,feb,2,1,failure,married,secondary,6,1047,7,0
386,22,admin.,114,no,no,cellular,mar,1,-1,unknown,single,secondary,30,517,0,1
5609,40,services,473,yes,no,cellular,jul,3,-1,unknown,married,secondary,28,383,0,1
5785,42,technician,-106,yes,no,unknown,may,1,-1,unknown,divorced,secondary,29,95,0,0
3532,53,technician,629,yes,no,cellular,may,1,-1,unknown,divorced,unknown,8,298,0,0
1652,47,technician,1167,yes,no,cellular,aug,1,96,success,married,secondary,4,505,6,1
896,34,admin.,0,yes,no,cellular,may,1,-1,unknown,divorced,secondary,6,153,0,0
2441,41,services,205,yes,no,unknown,may,1,-1,unknown,married,secondary,8,91,0,0
1781,57,management,9103,no,yes,unknown,jun,2,-1,unknown,married,tertiary,20,1098,0,1
262,26,blue-collar,592,yes,yes,unknown,may,1,-1,unknown,single,secondary,27,174,0,0
3134,52,technician,152,no,no,cellular,aug,6,-1,unknown,divorced,secondary,13,404,0,1
1265,34,blue-collar,320,yes,no,cellular,nov,1,92,success,married,secondary,12,413,3,1
1183,60,housemaid,352,no,yes,unknown,jun,2,-1,unknown,married,primary,17,81,0,0
4122,50,blue-collar,12519,yes,no,cellular,nov,3,34,failure,married,primary,21,615,1,1
271,53,management,0,yes,no,cellular,jul,3,-1,unknown,married,tertiary,14,85,0,0
4333,28,blue-collar,-46,yes,no,cellular,jun,2,91,success,single,secondary,1,154,12,1
2988,39,management,93,yes,yes,cellular,may,2,331,failure,single,tertiary,13,196,3,0
4852,41,admin.,1536,no,no,cellular,aug,1,95,failure,married,tertiary,7,273,2,1
6269,37,admin.,1110,yes,no,telephone,jul,11,-1,unknown,married,secondary,22,802,0,1
6807,30,admin.,0,yes,no,cellular,feb,2,-1,unknown,single,tertiary,4,730,0,1
4873,57,admin.,658,no,no,cellular,jul,1,-1,unknown,divorced,secondary,10,724,0,1
6002,54,technician,2156,yes,no,cellular,apr,1,86,success,divorced,secondary,30,258,5,1
6869,26,management,3944,yes,no,cellular,may,2,-1,unknown,single,tertiary,14,974,0,1
4924,26,services,136,no,no,cellular,apr,1,-1,unknown,single,secondary,20,120,0,1
5979,29,blue-collar,0,no,no,cellular,jul,1,-1,unknown,married,secondary,10,45,0,0
