,job,balance,housing,loan,contact,month,campaign,poutcome,deposit
1796,blue-collar,2093,no,no,cellular,sep,2,failure,yes
2610,unemployed,274,no,no,cellular,feb,5,unknown,no
5550,admin.,3415,no,no,cellular,oct,3,success,yes
2835,management,574,yes,no,cellular,may,3,unknown,no
2201,blue-collar,140,yes,no,cellular,jan,2,unknown,no
1950,technician,3933,no,no,cellular,jul,3,unknown,yes
4831,technician,2776,yes,no,cellular,jul,2,success,yes
3786,unemployed,262,no,no,cellular,jan,1,unknown,no
4935,management,256,no,no,cellular,dec,1,success,yes
7340,management,453,yes,no,unknown,may,2,unknown,no
3667,unemployed,415,no,no,cellular,feb,1,failure,yes
4547,self-employed,1129,yes,no,cellular,nov,2,failure,no
391,technician,994,yes,no,cellular,nov,3,success,yes
789,services,2378,no,no,cellular,nov,2,unknown,yes
319,self-employed,231,no,no,cellular,aug,2,unknown,yes
7146,technician,1,yes,yes,unknown,may,1,unknown,no
1187,services,1038,no,no,unknown,jun,1,unknown,no
2240,self-employed,677,yes,no,cellular,may,2,unknown,no
3332,technician,57,no,no,unknown,may,1,unknown,yes
1618,management,0,no,no,cellular,oct,1,other,yes
1588,management,1400,yes,no,cellular,may,3,unknown,yes
1690,management,5359,no,no,cellular,aug,1,success,yes
6738,management,20,yes,no,cellular,feb,1,unknown,no
6588,services,340,yes,no,cellular,jul,2,unknown,yes
5668,student,6036,no,no,cellular,mar,1,failure,yes
4519,student,110,yes,no,unknown,may,3,unknown,no
1761,management,2603,yes,no,cellular,feb,4,unknown,yes
3754,blue-collar,1036,yes,yes,unknown,may,2,unknown,no
52,unemployed,8725,no,no,cellular,jul,2,unknown,no
6113,technician,138,no,no,cellular,may,1,other,yes
932,management,2283,no,no,cellular,may,2,failure,yes
6080,blue-collar,664,no,yes,cellular,jul,5,unknown,yes
6882,retired,4048,no,yes,cellular,jul,5,unknown,no
1101,blue-collar,7051,no,yes,cellular,jul,13,unknown,no
877,admin.,169,no,no,cellular,feb,1,unknown,yes
4602,admin.,3735,no,no,cellular,mar,4,failure,yes
1608,unemployed,219,yes,no,unknown,may,1,unknown,no
838,technician,791,yes,no,unknown,may,2,unknown,no
4227,services,0,yes,no,cellular,may,1,unknown,no
7263,blue-collar,215,yes,no,unknown,jun,5,unknown,no
2066,blue-collar,2806,no,no,cellular,oct,1,other,no
5835,management,1101,yes,no,telephone,nov,1,unknown,no
741,technician,1711,no,no,cellular,apr,3,success,yes
7328,blue-collar,1508,no,no,cellular,nov,2,failure,no
6748,technician,141,yes,no,cellular,may,1,failure,yes
1731,retired,820,no,no,telephone,apr,4,unknown,yes
6791,management,763,no,no,cellular,feb,1,failure,yes
4012,student,302,no,no,cellular,jul,1,unknown,yes
1252,services,-288,yes,no,unknown,may,7,unknown,no
5001,retired,0,yes,no,cellular,jul,2,unknown,no
1175,blue-collar,-443,yes,yes,cellular,apr,1,unknown,yes
2322,management,1199,no,no,cellular,aug,1,success,yes
4318,management,1410,yes,no,cellular,jul,1,unknown,no
3453,student,1377,yes,no,cellular,may,2,unknown,yes
5194,management,520,yes,no,cellular,may,3,failure,yes
280,unemployed,200,yes,no,unknown,may,6,unknown,no
3141,management,141,no,yes,cellular,nov,1,unknown,yes
3588,technician,5115,yes,no,cellular,jun,1,success,yes
5890,management,106,no,no,unknown,jun,2,unknown,yes
7008,admin.,-396,yes,no,cellular,may,1,failure,no
2737,retired,0,yes,no,cellular,may,1,failure,no
2432,admin.,1314,yes,no,cellular,may,1,failure,no
5601,services,3413,no,no,cellular,aug,7,unknown,no
1416,housemaid,135,no,no,cellular,aug,9,unknown,no
1127,unemployed,1,yes,no,cellular,jul,8,unknown,no
5442,technician,503,yes,no,unknown,may,3,unknown,no
461,management,1138,no,no,cellular,aug,3,unknown,yes
3246,self-employed,599,no,no,cellular,aug,1,unknown,no
5694,technician,335,no,no,cellular,feb,1,unknown,yes
4280,services,77,no,no,cellular,may,2,unknown,no
4958,services,49,no,no,unknown,may,1,unknown,no
3781,management,673,yes,no,cellular,jul,1,unknown,yes
3920,blue-collar,732,yes,no,unknown,may,1,unknown,no
2079,management,2840,no,no,cellular,apr,5,unknown,yes
4795,retired,679,no,no,telephone,nov,1,unknown,yes
1053,management,679,no,no,cellular,aug,2,unknown,yes
3973,admin.,1954,yes,yes,cellular,nov,2,failure,no
5316,technician,0,yes,no,unknown,may,1,unknown,no
4057,services,453,no,no,cellular,apr,2,unknown,yes
2879,management,-27,yes,no,cellular,may,1,unknown,no
2089,self-employed,123,yes,no,unknown,may,1,unknown,no
3004,management,223,yes,no,unknown,may,1,unknown,no
3000,self-employed,286,yes,no,cellular,aug,1,unknown,no
5090,admin.,-1,yes,no,unknown,may,1,unknown,no
169,services,2376,yes,no,cellular,sep,1,unknown,yes
