,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,day,duration,previous,deposit
6411,51,blue-collar,5,no,no,cellular,jul,2,-1,unknown,divorced,primary,29,600,0,1
4711,51,admin.,949,no,no,cellular,aug,1,-1,unknown,married,secondary,5,1092,0,1
1935,35,management,-547,yes,no,cellular,aug,2,-1,unknown,married,tertiary,14,101,0,0
3559,32,management,1477,yes,no,cellular,nov,1,-1,unknown,married,secondary,18,111,0,0
6776,59,retired,0,no,no,cellular,aug,4,-1,unknown,married,unknown,25,213,0,0
5248,29,technician,-397,yes,no,unknown,may,1,-1,unknown,single,secondary,28,114,0,0
3831,40,blue-collar,830,yes,no,cellular,may,3,370,failure,married,primary,13,873,2,1
2286,66,admin.,4041,no,no,cellular,jun,2,-1,unknown,married,secondary,14,713,0,1
1737,29,management,9407,no,no,cellular,may,6,-1,unknown,single,tertiary,4,267,0,1
5942,26,student,132,no,no,cellular,jun,1,-1,unknown,single,secondary,4,217,0,1
80,57,retired,427,no,no,cellular,jan,1,-1,unknown,married,secondary,29,246,0,0
3307,50,blue-collar,1743,yes,no,unknown,jun,5,-1,unknown,single,primary,6,49,0,0
611,32,technician,12,no,no,cellular,aug,2,-1,unknown,single,secondary,7,173,0,0
3104,45,management,5888,yes,no,unknown,may,5,-1,unknown,married,secondary,26,45,0,0
7047,49,services,947,no,no,unknown,jun,2,-1,unknown,divorced,secondary,20,808,0,1
5615,32,technician,3255,no,no,cellular,jun,2,-1,unknown,divorced,tertiary,29,167,0,1
4675,73,retired,542,no,no,telephone,apr,5,-1,unknown,married,primary,29,107,0,0
5345,29,services,363,yes,no,cellular,may,1,-1,unknown,married,secondary,15,164,0,0
2546,51,unemployed,234,no,no,cellular,aug,1,-1,unknown,married,secondary,22,735,0,1
7342,32,technician,253,yes,no,cellular,nov,1,170,failure,married,secondary,21,76,3,0
4745,52,services,130,yes,no,unknown,may,2,-1,unknown,divorced,primary,29,103,0,0
5621,26,technician,237,yes,no,cellular,may,3,-1,unknown,single,secondary,4,1091,0,1
4703,51,technician,337,yes,no,cellular,aug,4,-1,unknown,married,secondary,20,687,0,0
4765,37,services,6089,yes,no,cellular,may,2,-1,unknown,married,secondary,14,616,0,1
3961,51,services,65,no,yes,cellular,jul,1,-1,unknown,divorced,secondary,15,881,0,1
4656,58,services,943,yes,no,unknown,jun,3,-1,unknown,married,primary,3,243,0,0
6058,27,student,468,no,no,cellular,feb,2,-1,unknown,single,unknown,4,270,0,0
5898,41,admin.,2498,no,no,cellular,aug,1,-1,unknown,married,secondary,12,411,0,1
2949,37,technician,157,yes,no,unknown,may,2,-1,unknown,married,secondary,7,238,0,0
4999,30,management,5389,no,no,cellular,aug,3,-1,unknown,single,tertiary,6,1456,0,1
876,57,admin.,169,no,no,cellular,feb,1,-1,unknown,married,secondary,3,369,0,1
2692,37,management,3141,no,no,cellular,may,2,-1,unknown,single,tertiary,4,384,0,1
5017,47,management,86,no,no,cellular,aug,1,97,success,single,tertiary,5,253,4,1
117,57,entrepreneur,1153,yes,yes,unknown,jun,6,-1,unknown,married,primary,9,238,0,0
1173,73,retired,5539,no,no,telephone,aug,1,-1,unknown,married,primary,6,338,0,1
2607,37,blue-collar,240,yes,no,cellular,may,1,370,other,married,primary,11,259,2,0
6967,29,technician,767,yes,no,cellular,feb,1,-1,unknown,married,secondary,5,253,0,0
4529,35,management,2646,no,no,cellular,oct,1,182,success,single,tertiary,13,221,1,1
956,30,services,1268,yes,no,cellular,apr,4,320,other,single,secondary,8,105,8,1
5838,30,blue-collar,80,yes,yes,cellular,may,1,337,failure,single,secondary,5,145,4,0
3838,37,unemployed,443,no,no,cellular,jan,1,-1,unknown,single,secondary,29,1600,0,1
4585,27,blue-collar,3792,no,no,cellular,oct,1,183,success,single,secondary,22,504,2,1
4104,60,retired,-639,yes,no,cellular,may,1,-1,unknown,divorced,secondary,15,585,0,1
2072,62,housemaid,1528,no,no,cellular,apr,1,-1,unknown,married,tertiary,14,496,0,1
2625,34,management,9827,yes,no,cellular,aug,4,-1,unknown,single,tertiary,13,871,0,1
3354,51,management,656,yes,no,cellular,jul,2,-1,unknown,married,tertiary,25,268,0,0
7331,42,services,774,no,no,cellular,jan,1,-1,unknown,married,secondary,28,997,0,1
5940,41,technician,13,no,no,unknown,jun,2,-1,unknown,married,tertiary,5,189,0,0
4491,57,services,84,yes,no,unknown,may,1,-1,unknown,married,secondary,15,59,0,0
897,52,unemployed,1639,no,no,cellular,aug,1,-1,unknown,married,secondary,8,93,0,0
6057,30,admin.,-170,yes,yes,unknown,may,1,-1,unknown,married,secondary,26,130,0,0
4199,27,technician,1075,no,no,cellular,mar,1,-1,unknown,single,tertiary,2,658,0,1
3317,50,management,405,no,no,cellular,apr,6,-1,unknown,divorced,tertiary,2,82,0,0
1659,60,management,-311,no,no,cellular,aug,6,-1,unknown,married,tertiary,25,151,0,0
4298,31,admin.,162,yes,no,unknown,may,1,-1,unknown,single,secondary,28,247,0,0
2196,30,technician,3028,yes,no,cellular,aug,5,-1,unknown,divorced,secondary,28,65,0,0
6092,43,management,2987,no,no,cellular,jun,1,85,failure,married,tertiary,4,156,3,1
7078,39,technician,3,no,no,cellular,may,1,-1,unknown,divorced,tertiary,6,488,0,1
3377,30,technician,106,yes,no,cellular,may,3,-1,unknown,single,tertiary,13,119,0,0
4856,28,management,-227,yes,no,unknown,jun,2,-1,unknown,single,tertiary,4,298,0,0
788,36,technician,4596,yes,no,cellular,oct,2,175,success,married,tertiary,8,234,2,1
4013,44,management,-1636,yes,yes,cellular,may,1,-1,unknown,married,tertiary,11,257,0,0
3658,48,blue-collar,863,yes,no,telephone,may,5,350,success,married,secondary,4,412,2,1
103,25,management,2228,yes,no,cellular,jul,1,-1,unknown,married,secondary,23,754,0,1
902,31,blue-collar,0,yes,no,unknown,may,1,-1,unknown,married,secondary,9,133,0,0
1482,30,blue-collar,501,yes,yes,cellular,nov,1,177,failure,married,secondary,20,994,1,1
666,43,admin.,616,yes,no,unknown,may,2,-1,unknown,married,secondary,9,168,0,0
6565,43,management,0,no,no,cellular,jun,2,296,failure,single,tertiary,30,275,1,1
4086,35,technician,1354,no,no,cellular,jun,2,-1,unknown,married,tertiary,2,250,0,1
2200,53,unemployed,582,yes,no,unknown,may,2,-1,unknown,married,secondary,8,96,0,0
398,26,management,-8,no,no,cellular,aug,2,-1,unknown,single,tertiary,13,402,0,0
5102,51,retired,746,no,no,cellular,aug,5,-1,unknown,married,tertiary,25,372,0,1
4313,43,admin.,2271,no,no,telephone,nov,1,-1,unknown,married,secondary,10,524,0,1
5897,40,unemployed,1960,yes,no,unknown,jun,6,-1,unknown,married,secondary,2,605,0,1
5859,34,technician,174,no,no,telephone,may,4,-1,unknown,single,secondary,11,259,0,0
2082,34,services,1182,yes,no,unknown,may,1,-1,unknown,married,secondary,28,124,0,0
