,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
4982,31,technician,95,no,no,cellular,nov,6,-1,unknown,0
6873,31,management,1308,no,no,cellular,aug,3,-1,unknown,0
643,28,management,12,yes,no,cellular,sep,1,-1,unknown,1
4187,52,retired,6,no,no,cellular,aug,2,-1,unknown,0
251,72,self-employed,132,no,no,cellular,apr,1,-1,unknown,1
5552,49,blue-collar,388,no,no,telephone,jul,2,-1,unknown,0
4473,35,technician,3490,yes,no,cellular,aug,2,-1,unknown,1
805,28,management,3,yes,no,cellular,sep,2,24,other,0
6000,60,blue-collar,1310,no,no,unknown,may,2,-1,unknown,0
1472,39,technician,1355,yes,no,cellular,may,1,-1,unknown,1
6607,36,services,5024,no,no,unknown,may,1,-1,unknown,0
1271,37,blue-collar,133,yes,no,cellular,may,2,-1,unknown,1
4225,29,admin.,500,yes,no,cellular,may,8,-1,unknown,0
2374,36,unemployed,115,no,no,cellular,feb,2,-1,unknown,0
7289,75,retired,2970,no,no,cellular,aug,1,-1,unknown,1
1141,29,blue-collar,2870,yes,no,cellular,jul,1,-1,unknown,1
1827,34,blue-collar,17672,no,no,cellular,nov,1,-1,unknown,0
3449,38,technician,318,no,no,cellular,feb,1,181,failure,1
3557,42,management,5310,yes,no,cellular,may,2,186,success,1
1917,42,blue-collar,7735,yes,no,cellular,apr,1,144,failure,0
675,32,management,6542,yes,no,cellular,may,4,175,failure,1
5126,42,blue-collar,349,yes,no,cellular,apr,2,-1,unknown,0
6920,26,blue-collar,2669,yes,no,cellular,apr,1,-1,unknown,0
1549,29,technician,0,yes,no,cellular,may,2,337,failure,1
105,41,unknown,1567,no,no,cellular,jul,2,-1,unknown,0
5765,32,services,945,no,no,cellular,nov,1,-1,unknown,1
5581,30,technician,-280,yes,no,cellular,apr,2,266,failure,0
6175,37,services,49,yes,no,unknown,may,2,-1,unknown,1
2737,57,retired,0,yes,no,cellular,may,1,363,failure,0
1074,52,technician,371,yes,yes,cellular,apr,2,182,success,1
649,29,admin.,0,yes,no,unknown,may,1,-1,unknown,0
