,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
1796,32,blue-collar,2093,no,no,cellular,sep,2,444,failure,yes
2610,55,unemployed,274,no,no,cellular,feb,5,-1,unknown,no
5550,27,admin.,3415,no,no,cellular,oct,3,184,success,yes
2835,27,management,574,yes,no,cellular,may,3,-1,unknown,no
2201,41,blue-collar,140,yes,no,cellular,jan,2,-1,unknown,no
1950,27,technician,3933,no,no,cellular,jul,3,-1,unknown,yes
4831,45,technician,2776,yes,no,cellular,jul,2,181,success,yes
3786,32,unemployed,262,no,no,cellular,jan,1,-1,unknown,no
4935,58,management,256,no,no,cellular,dec,1,188,success,yes
7340,31,management,453,yes,no,unknown,may,2,-1,unknown,no
3667,35,unemployed,415,no,no,cellular,feb,1,176,failure,yes
4547,35,self-employed,1129,yes,no,cellular,nov,2,184,failure,no
391,42,technician,994,yes,no,cellular,nov,3,93,success,yes
789,32,services,2378,no,no,cellular,nov,2,-1,unknown,yes
319,41,self-employed,231,no,no,cellular,aug,2,-1,unknown,yes
7146,35,technician,1,yes,yes,unknown,may,1,-1,unknown,no
1187,40,services,1038,no,no,unknown,jun,1,-1,unknown,no
2240,38,self-employed,677,yes,no,cellular,may,2,-1,unknown,no
3332,46,technician,57,no,no,unknown,may,1,-1,unknown,yes
1618,56,management,0,no,no,cellular,oct,1,111,other,yes
1588,36,management,1400,yes,no,cellular,may,3,-1,unknown,yes
1690,30,management,5359,no,no,cellular,aug,1,84,success,yes
6738,49,management,20,yes,no,cellular,feb,1,-1,unknown,no
6588,28,services,340,yes,no,cellular,jul,2,-1,unknown,yes
5668,27,student,6036,no,no,cellular,mar,1,181,failure,yes
4519,29,student,110,yes,no,unknown,may,3,-1,unknown,no
1761,31,management,2603,yes,no,cellular,feb,4,-1,unknown,yes
3754,32,blue-collar,1036,yes,yes,unknown,may,2,-1,unknown,no
52,45,unemployed,8725,no,no,cellular,jul,2,-1,unknown,no
6113,31,technician,138,no,no,cellular,may,1,285,other,yes
932,37,management,2283,no,no,cellular,may,2,98,failure,yes
6080,41,blue-collar,664,no,yes,cellular,jul,5,-1,unknown,yes
6882,58,retired,4048,no,yes,cellular,jul,5,-1,unknown,no
1101,36,blue-collar,7051,no,yes,cellular,jul,13,-1,unknown,no
877,57,admin.,169,no,no,cellular,feb,1,-1,unknown,yes
4602,59,admin.,3735,no,no,cellular,mar,4,121,failure,yes
1608,40,unemployed,219,yes,no,unknown,may,1,-1,unknown,no
838,38,technician,791,yes,no,unknown,may,2,-1,unknown,no
4227,36,services,0,yes,no,cellular,may,1,-1,unknown,no
7263,54,blue-collar,215,yes,no,unknown,jun,5,-1,unknown,no
2066,29,blue-collar,2806,no,no,cellular,oct,1,93,other,no
5835,38,management,1101,yes,no,telephone,nov,1,-1,unknown,no
741,38,technician,1711,no,no,cellular,apr,3,202,success,yes
7328,40,blue-collar,1508,no,no,cellular,nov,2,85,failure,no
6748,37,technician,141,yes,no,cellular,may,1,364,failure,yes
1731,76,retired,820,no,no,telephone,apr,4,-1,unknown,yes
6791,39,management,763,no,no,cellular,feb,1,189,failure,yes
4012,19,student,302,no,no,cellular,jul,1,-1,unknown,yes
1252,47,services,-288,yes,no,unknown,may,7,-1,unknown,no
5001,54,retired,0,yes,no,cellular,jul,2,-1,unknown,no
1175,45,blue-collar,-443,yes,yes,cellular,apr,1,-1,unknown,yes
2322,38,management,1199,no,no,cellular,aug,1,1,success,yes
4318,57,management,1410,yes,no,cellular,jul,1,-1,unknown,no
3453,28,student,1377,yes,no,cellular,may,2,-1,unknown,yes
5194,35,management,520,yes,no,cellular,may,3,17,failure,yes
280,34,unemployed,200,yes,no,unknown,may,6,-1,unknown,no
3141,35,management,141,no,yes,cellular,nov,1,-1,unknown,yes
3588,38,technician,5115,yes,no,cellular,jun,1,95,success,yes
5890,40,management,106,no,no,unknown,jun,2,-1,unknown,yes
7008,60,admin.,-396,yes,no,cellular,may,1,350,failure,no
2737,57,retired,0,yes,no,cellular,may,1,363,failure,no
2432,37,admin.,1314,yes,no,cellular,may,1,14,failure,no
5601,51,services,3413,no,no,cellular,aug,7,-1,unknown,no
1416,52,housemaid,135,no,no,cellular,aug,9,-1,unknown,no
1127,35,unemployed,1,yes,no,cellular,jul,8,-1,unknown,no
5442,40,technician,503,yes,no,unknown,may,3,-1,unknown,no
461,44,management,1138,no,no,cellular,aug,3,-1,unknown,yes
3246,49,self-employed,599,no,no,cellular,aug,1,-1,unknown,no
5694,47,technician,335,no,no,cellular,feb,1,-1,unknown,yes
4280,50,services,77,no,no,cellular,may,2,-1,unknown,no
4958,53,services,49,no,no,unknown,may,1,-1,unknown,no
3781,36,management,673,yes,no,cellular,jul,1,-1,unknown,yes
3920,41,blue-collar,732,yes,no,unknown,may,1,-1,unknown,no
2079,28,management,2840,no,no,cellular,apr,5,-1,unknown,yes
4795,64,retired,679,no,no,telephone,nov,1,-1,unknown,yes
