,age,job,balance,contact,campaign,pdays,poutcome,deposit
4575,51,housemaid,108,unknown,2,-1,unknown,no
6638,23,student,431,cellular,2,-1,unknown,yes
815,26,admin.,2469,cellular,8,-1,unknown,no
5638,30,management,-27,unknown,2,-1,unknown,no
4249,19,student,55,telephone,2,193,other,no
950,30,technician,635,cellular,8,-1,unknown,yes
6586,53,services,8918,telephone,2,-1,unknown,no
4780,56,management,2333,cellular,1,-1,unknown,yes
3860,40,technician,0,cellular,2,172,failure,no
5801,34,blue-collar,129,cellular,1,200,success,yes
2634,23,services,279,cellular,1,370,failure,yes
4450,24,student,597,cellular,3,-1,unknown,yes
1431,62,retired,1084,cellular,1,-1,unknown,yes
7409,34,services,1337,cellular,2,127,success,yes
5490,30,technician,194,cellular,3,-1,unknown,no
1362,30,technician,151,cellular,2,-1,unknown,no
1684,49,housemaid,889,telephone,1,-1,unknown,yes
4894,39,blue-collar,0,unknown,1,-1,unknown,no
7690,55,technician,1199,telephone,10,-1,unknown,no
7181,41,blue-collar,3851,cellular,1,-1,unknown,no
5131,36,services,297,cellular,5,-1,unknown,no
3404,27,services,246,cellular,2,-1,unknown,yes
7720,42,services,774,cellular,1,-1,unknown,yes
3555,49,blue-collar,4830,unknown,1,-1,unknown,no
7285,46,blue-collar,-388,cellular,1,-1,unknown,no
7566,31,admin.,50,cellular,1,-1,unknown,no
4460,36,blue-collar,928,cellular,3,-1,unknown,no
5877,37,technician,3068,cellular,2,195,other,yes
7217,34,blue-collar,1454,cellular,2,297,failure,yes
28,49,technician,1684,cellular,2,-1,unknown,yes
3751,73,retired,934,cellular,5,-1,unknown,yes
618,59,unemployed,957,cellular,1,89,success,yes
4939,46,technician,966,cellular,2,-1,unknown,no
2100,49,admin.,7426,telephone,2,-1,unknown,no
2363,36,blue-collar,679,cellular,1,-1,unknown,no
79,34,blue-collar,157,cellular,2,-1,unknown,no
2022,20,student,6991,cellular,2,-1,unknown,yes
3721,30,management,552,cellular,2,-1,unknown,no
6141,30,blue-collar,-390,cellular,1,-1,unknown,no
2257,78,retired,229,telephone,1,-1,unknown,yes
5391,51,retired,746,cellular,5,-1,unknown,yes
2867,66,retired,780,cellular,4,-1,unknown,no
975,39,technician,1270,unknown,4,-1,unknown,no
5572,23,services,488,cellular,1,92,other,yes
5725,51,retired,1679,cellular,1,365,other,yes
2474,39,admin.,607,cellular,2,364,failure,yes
3559,31,management,518,cellular,1,-1,unknown,no
2565,53,blue-collar,4401,telephone,1,92,success,yes
5536,46,services,437,cellular,3,-1,unknown,yes
348,43,unemployed,983,cellular,1,-1,unknown,yes
1487,58,unemployed,687,cellular,2,-1,unknown,yes
7606,28,management,223,telephone,2,119,other,yes
2449,56,management,7747,unknown,2,-1,unknown,no
2550,28,student,1925,cellular,1,97,failure,yes
5241,37,management,658,cellular,1,-1,unknown,yes
2282,37,management,240,unknown,1,-1,unknown,yes
2674,57,retired,9367,cellular,4,92,success,yes
3268,61,admin.,1046,cellular,1,-1,unknown,yes
946,33,management,1778,cellular,1,103,success,no
7793,50,blue-collar,4108,cellular,2,-1,unknown,yes
1386,81,retired,949,cellular,2,280,other,yes
1549,70,retired,0,cellular,1,-1,unknown,yes
332,41,entrepreneur,707,unknown,1,-1,unknown,yes
2928,26,management,943,cellular,1,195,success,yes
1335,54,management,3473,cellular,2,-1,unknown,no
2216,66,retired,1948,cellular,1,91,success,yes
428,64,retired,4833,cellular,1,181,failure,yes
5719,50,services,1321,unknown,2,-1,unknown,no
5712,55,technician,3899,telephone,4,-1,unknown,yes
3029,28,blue-collar,-197,unknown,2,-1,unknown,yes
4931,43,services,774,cellular,1,421,success,yes
614,49,blue-collar,-157,cellular,3,-1,unknown,yes
3230,44,blue-collar,1397,cellular,1,-1,unknown,no
1844,34,management,271,cellular,1,94,success,yes
373,27,management,2071,cellular,1,-1,unknown,yes
