,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
6819,40,management,143,no,no,cellular,aug,6,-1,unknown,no
3220,46,management,2904,yes,no,unknown,may,2,-1,unknown,yes
6347,73,retired,1388,no,no,cellular,jul,3,190,success,no
5037,47,technician,19,yes,no,unknown,may,2,-1,unknown,no
3113,46,admin.,1342,yes,no,cellular,feb,1,-1,unknown,no
4349,29,management,16,yes,no,cellular,jul,6,-1,unknown,no
3128,33,management,1120,no,no,cellular,aug,2,-1,unknown,yes
2937,50,management,1277,no,no,cellular,may,1,-1,unknown,no
87,36,management,93,no,no,cellular,jul,2,182,failure,yes
1808,34,management,1173,no,yes,cellular,jul,1,-1,unknown,no
4469,39,technician,175,no,yes,unknown,jun,2,-1,unknown,no
5618,53,services,257,yes,no,unknown,may,2,-1,unknown,no
1803,41,blue-collar,449,yes,no,cellular,apr,6,-1,unknown,no
6633,33,management,0,no,no,cellular,aug,7,-1,unknown,yes
6915,20,student,130,no,no,telephone,may,3,-1,unknown,no
5041,35,services,0,no,no,cellular,jul,1,-1,unknown,yes
3165,35,technician,354,no,no,cellular,aug,3,-1,unknown,yes
6354,57,services,0,no,no,cellular,aug,1,-1,unknown,yes
1442,46,self-employed,0,no,no,unknown,aug,1,-1,unknown,no
4478,27,housemaid,-238,no,no,cellular,jul,4,-1,unknown,no
5017,42,management,144,no,no,cellular,mar,1,87,failure,yes
5756,30,admin.,-170,yes,yes,unknown,may,1,-1,unknown,no
1310,59,admin.,2145,no,no,telephone,nov,2,-1,unknown,no
3926,30,technician,1011,yes,no,unknown,may,1,-1,unknown,no
3998,42,self-employed,3717,no,no,unknown,jun,1,-1,unknown,no
484,30,blue-collar,253,yes,no,cellular,may,1,-1,unknown,yes
5968,27,admin.,861,no,no,cellular,jun,4,-1,unknown,yes
3847,31,management,2907,yes,no,cellular,jul,1,194,failure,yes
1026,33,management,3301,yes,no,cellular,nov,2,171,failure,no
4767,40,blue-collar,13,yes,no,unknown,jul,1,-1,unknown,no
2782,73,retired,279,no,no,cellular,jan,3,-1,unknown,yes
440,62,retired,2557,yes,no,cellular,nov,1,57,success,yes
3080,43,blue-collar,1401,yes,no,unknown,may,2,-1,unknown,no
2048,58,retired,999,no,no,cellular,jul,6,-1,unknown,no
1955,41,blue-collar,1461,yes,no,unknown,jun,2,-1,unknown,yes
821,66,retired,2048,no,no,cellular,aug,1,-1,unknown,yes
4423,23,student,0,no,no,cellular,aug,1,-1,unknown,yes
1253,35,technician,2823,yes,no,cellular,feb,1,-1,unknown,no
1374,49,blue-collar,598,yes,no,cellular,may,6,-1,unknown,no
3291,38,technician,185,no,yes,cellular,aug,16,-1,unknown,no
2679,63,technician,973,no,no,cellular,feb,1,388,success,yes
6150,36,technician,2511,yes,no,cellular,apr,5,-1,unknown,yes
6074,25,management,943,no,no,cellular,apr,1,-1,unknown,yes
2502,34,services,295,yes,yes,cellular,jul,1,-1,unknown,no
28,28,housemaid,19,no,no,cellular,apr,1,-1,unknown,yes
6972,33,technician,-479,no,no,cellular,aug,1,-1,unknown,no
3200,46,services,4329,no,no,cellular,nov,2,-1,unknown,yes
1862,43,management,182,no,no,cellular,jan,1,-1,unknown,no
6203,41,blue-collar,2039,yes,no,cellular,may,1,-1,unknown,yes
3498,44,technician,1901,no,no,cellular,aug,2,-1,unknown,no
2470,38,management,1199,no,no,cellular,aug,1,-1,unknown,yes
1283,33,blue-collar,842,no,no,cellular,aug,4,-1,unknown,no
6786,55,blue-collar,7378,no,no,unknown,may,3,-1,unknown,no
5288,38,technician,976,yes,no,cellular,jul,3,-1,unknown,yes
4558,45,technician,441,yes,no,cellular,feb,1,-1,unknown,no
1569,58,retired,1425,no,no,cellular,apr,1,-1,unknown,yes
1356,53,services,-291,yes,yes,unknown,may,1,-1,unknown,yes
3142,48,admin.,83,yes,no,cellular,may,1,-1,unknown,yes
5133,54,technician,395,no,no,cellular,apr,1,183,success,yes
536,42,entrepreneur,233,no,no,cellular,feb,1,-1,unknown,no
5758,36,self-employed,353,no,no,cellular,aug,2,181,success,yes
3329,48,entrepreneur,-392,no,no,cellular,jul,4,-1,unknown,yes
5477,71,retired,5584,no,no,cellular,aug,3,-1,unknown,yes
3357,55,blue-collar,3917,yes,no,cellular,may,1,-1,unknown,yes
1620,30,admin.,311,no,no,cellular,mar,2,-1,unknown,yes
643,32,management,6542,yes,no,cellular,may,4,175,failure,yes
6835,31,management,12857,yes,no,cellular,feb,1,92,success,yes
5076,49,technician,342,no,yes,cellular,nov,3,-1,unknown,no
854,51,technician,-1944,yes,no,cellular,may,1,-1,unknown,yes
4002,29,admin.,500,yes,no,cellular,may,8,-1,unknown,no
21,35,management,0,yes,no,cellular,nov,2,96,success,yes
2882,55,retired,357,yes,no,cellular,apr,1,-1,unknown,no
1265,21,entrepreneur,2077,no,no,cellular,aug,1,-1,unknown,yes
903,34,admin.,67,yes,no,unknown,may,1,-1,unknown,no
2304,39,blue-collar,766,yes,no,unknown,jun,3,-1,unknown,no
74,35,self-employed,951,yes,no,cellular,nov,2,-1,unknown,no
2492,70,retired,482,no,no,telephone,jul,1,181,success,yes
4634,32,technician,211,yes,yes,unknown,may,4,-1,unknown,no
2539,43,admin.,59,yes,no,cellular,jul,3,-1,unknown,no
