,job,balance,housing,loan,contact,pdays,poutcome,default,duration,deposit
3468,technician,1262,yes,no,unknown,-1,unknown,no,788,1
7340,management,265,no,no,cellular,-1,unknown,no,491,1
6871,technician,0,yes,yes,cellular,-1,unknown,no,101,0
6448,technician,522,no,yes,cellular,-1,unknown,no,559,0
7206,technician,1353,no,no,cellular,-1,unknown,no,528,1
5411,admin.,-41,yes,yes,cellular,262,failure,no,1658,1
4715,services,483,yes,no,cellular,-1,unknown,no,188,0
4337,admin.,212,yes,no,cellular,-1,unknown,no,191,0
4759,management,4539,no,no,cellular,439,failure,no,256,1
1490,entrepreneur,538,yes,no,cellular,-1,unknown,no,353,1
309,management,-470,yes,no,cellular,160,failure,no,130,0
6672,management,385,yes,no,unknown,-1,unknown,no,52,0
4429,entrepreneur,122,no,no,cellular,1,failure,no,1047,0
386,admin.,114,no,no,cellular,-1,unknown,no,517,1
5609,services,473,yes,no,cellular,-1,unknown,no,383,1
5785,technician,-106,yes,no,unknown,-1,unknown,no,95,0
3532,technician,629,yes,no,cellular,-1,unknown,no,298,0
1652,technician,1167,yes,no,cellular,96,success,no,505,1
896,admin.,0,yes,no,cellular,-1,unknown,no,153,0
2441,services,205,yes,no,unknown,-1,unknown,no,91,0
1781,management,9103,no,yes,unknown,-1,unknown,no,1098,1
262,blue-collar,592,yes,yes,unknown,-1,unknown,no,174,0
3134,technician,152,no,no,cellular,-1,unknown,no,404,1
1265,blue-collar,320,yes,no,cellular,92,success,no,413,1
1183,housemaid,352,no,yes,unknown,-1,unknown,no,81,0
4122,blue-collar,12519,yes,no,cellular,34,failure,no,615,1
271,management,0,yes,no,cellular,-1,unknown,no,85,0
4333,blue-collar,-46,yes,no,cellular,91,success,no,154,1
2988,management,93,yes,yes,cellular,331,failure,no,196,0
4852,admin.,1536,no,no,cellular,95,failure,no,273,1
6269,admin.,1110,yes,no,telephone,-1,unknown,no,802,1
6807,admin.,0,yes,no,cellular,-1,unknown,no,730,1
4873,admin.,658,no,no,cellular,-1,unknown,no,724,1
6002,technician,2156,yes,no,cellular,86,success,no,258,1
6869,management,3944,yes,no,cellular,-1,unknown,no,974,1
4924,services,136,no,no,cellular,-1,unknown,no,120,1
5979,blue-collar,0,no,no,cellular,-1,unknown,no,45,0
2202,blue-collar,75,yes,no,unknown,-1,unknown,no,479,1
4058,retired,19317,yes,no,cellular,-1,unknown,no,249,1
6677,admin.,3185,yes,no,unknown,-1,unknown,no,520,0
3057,admin.,125,yes,no,unknown,-1,unknown,no,172,0
1548,technician,589,yes,no,unknown,147,success,no,518,1
5043,blue-collar,581,yes,no,cellular,270,other,no,233,1
1316,management,22,yes,no,cellular,-1,unknown,no,59,0
6950,retired,523,no,no,cellular,182,success,no,467,1
5669,management,5691,yes,no,cellular,-1,unknown,no,357,0
6273,management,254,no,no,cellular,294,failure,no,183,1
2399,admin.,3696,no,no,cellular,-1,unknown,no,758,1
2944,blue-collar,167,no,yes,cellular,-1,unknown,no,134,1
6744,management,26,no,no,cellular,-1,unknown,no,222,0
599,management,1094,yes,no,cellular,-1,unknown,no,137,1
4583,technician,0,no,no,cellular,-1,unknown,no,313,0
4455,technician,201,no,yes,unknown,-1,unknown,no,148,0
3758,unemployed,365,yes,no,cellular,-1,unknown,no,210,0
5182,services,638,yes,yes,cellular,-1,unknown,no,792,1
