,job,balance,housing,loan,contact,campaign,pdays,poutcome,education,default,duration,previous,deposit
3468,technician,1262,yes,no,unknown,11,-1,unknown,secondary,no,788,0,1
7340,management,265,no,no,cellular,1,-1,unknown,tertiary,no,491,0,1
6871,technician,0,yes,yes,cellular,3,-1,unknown,secondary,no,101,0,0
6448,technician,522,no,yes,cellular,4,-1,unknown,secondary,no,559,0,0
7206,technician,1353,no,no,cellular,5,-1,unknown,secondary,no,528,0,1
5411,admin.,-41,yes,yes,cellular,1,262,failure,secondary,no,1658,1,1
4715,services,483,yes,no,cellular,1,-1,unknown,secondary,no,188,0,0
4337,admin.,212,yes,no,cellular,3,-1,unknown,secondary,no,191,0,0
4759,management,4539,no,no,cellular,3,439,failure,tertiary,no,256,1,1
1490,entrepreneur,538,yes,no,cellular,2,-1,unknown,secondary,no,353,0,1
309,management,-470,yes,no,cellular,2,160,failure,tertiary,no,130,1,0
6672,management,385,yes,no,unknown,4,-1,unknown,tertiary,no,52,0,0
4429,entrepreneur,122,no,no,cellular,2,1,failure,secondary,no,1047,7,0
386,admin.,114,no,no,cellular,1,-1,unknown,secondary,no,517,0,1
5609,services,473,yes,no,cellular,3,-1,unknown,secondary,no,383,0,1
5785,technician,-106,yes,no,unknown,1,-1,unknown,secondary,no,95,0,0
3532,technician,629,yes,no,cellular,1,-1,unknown,unknown,no,298,0,0
1652,technician,1167,yes,no,cellular,1,96,success,secondary,no,505,6,1
896,admin.,0,yes,no,cellular,1,-1,unknown,secondary,no,153,0,0
2441,services,205,yes,no,unknown,1,-1,unknown,secondary,no,91,0,0
1781,management,9103,no,yes,unknown,2,-1,unknown,tertiary,no,1098,0,1
262,blue-collar,592,yes,yes,unknown,1,-1,unknown,secondary,no,174,0,0
3134,technician,152,no,no,cellular,6,-1,unknown,secondary,no,404,0,1
1265,blue-collar,320,yes,no,cellular,1,92,success,secondary,no,413,3,1
1183,housemaid,352,no,yes,unknown,2,-1,unknown,primary,no,81,0,0
4122,blue-collar,12519,yes,no,cellular,3,34,failure,primary,no,615,1,1
271,management,0,yes,no,cellular,3,-1,unknown,tertiary,no,85,0,0
4333,blue-collar,-46,yes,no,cellular,2,91,success,secondary,no,154,12,1
2988,management,93,yes,yes,cellular,2,331,failure,tertiary,no,196,3,0
4852,admin.,1536,no,no,cellular,1,95,failure,tertiary,no,273,2,1
6269,admin.,1110,yes,no,telephone,11,-1,unknown,secondary,no,802,0,1
6807,admin.,0,yes,no,cellular,2,-1,unknown,tertiary,no,730,0,1
4873,admin.,658,no,no,cellular,1,-1,unknown,secondary,no,724,0,1
