,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,deposit
2682,42,technician,1189,no,no,unknown,jun,3,-1,unknown,no
4004,26,technician,267,yes,no,cellular,jul,2,-1,unknown,yes
4438,56,technician,179,no,no,cellular,jul,1,-1,unknown,yes
2570,42,management,27696,no,no,cellular,aug,1,91,success,yes
5872,47,technician,2283,yes,no,cellular,nov,2,-1,unknown,no
5486,39,technician,1104,no,no,cellular,aug,2,-1,unknown,yes
1112,38,technician,25,yes,no,cellular,jun,2,-1,unknown,yes
5283,51,blue-collar,0,yes,no,telephone,may,4,-1,unknown,no
2059,27,technician,3933,no,no,cellular,jul,3,-1,unknown,yes
5749,27,technician,7102,yes,no,unknown,may,9,-1,unknown,no
3585,37,management,1449,no,no,unknown,jun,1,-1,unknown,no
3659,29,blue-collar,348,yes,no,unknown,may,2,-1,unknown,no
6258,34,management,13014,no,no,cellular,feb,1,183,success,yes
6333,50,admin.,4855,no,no,cellular,aug,2,-1,unknown,yes
4272,41,blue-collar,580,yes,no,cellular,may,1,363,failure,yes
6739,33,technician,5641,no,no,cellular,aug,2,-1,unknown,no
7644,40,blue-collar,1451,no,no,cellular,sep,1,121,success,yes
1966,35,admin.,-244,yes,yes,cellular,may,1,-1,unknown,no
6359,60,management,366,no,no,cellular,jun,1,-1,unknown,yes
1883,39,blue-collar,39,yes,no,unknown,jun,6,-1,unknown,no
242,40,admin.,1412,no,no,cellular,jul,3,-1,unknown,no
6417,36,management,-115,yes,no,cellular,apr,4,182,other,yes
490,53,management,37,no,no,cellular,aug,9,-1,unknown,no
5061,42,technician,757,no,no,cellular,feb,1,-1,unknown,yes
3972,23,student,2530,no,no,cellular,may,1,-1,unknown,yes
4202,55,blue-collar,1613,yes,no,cellular,apr,1,270,failure,yes
2382,53,blue-collar,2656,yes,no,unknown,may,2,-1,unknown,yes
1028,27,admin.,73,no,no,cellular,feb,1,-1,unknown,yes
4406,42,housemaid,1371,no,no,unknown,jun,8,-1,unknown,no
1472,31,blue-collar,892,yes,no,cellular,jul,22,-1,unknown,no
7097,30,technician,1289,yes,no,unknown,may,2,-1,unknown,yes
2755,30,services,-366,yes,no,cellular,jul,1,-1,unknown,yes
7558,31,self-employed,1134,no,no,cellular,feb,2,-1,unknown,no
6296,31,technician,477,no,no,cellular,apr,1,-1,unknown,no
1141,35,admin.,76,no,yes,unknown,jun,1,-1,unknown,no
214,38,management,413,no,no,cellular,oct,2,183,success,yes
4523,50,services,77,no,no,cellular,may,2,-1,unknown,no
7595,38,technician,2767,yes,no,cellular,nov,2,-1,unknown,no
4929,34,management,431,no,no,cellular,jul,1,-1,unknown,no
4870,27,services,302,no,no,cellular,jul,1,-1,unknown,yes
4467,36,blue-collar,928,no,no,cellular,apr,3,-1,unknown,no
2741,25,services,895,yes,no,unknown,jun,1,-1,unknown,no
7329,44,blue-collar,292,no,yes,cellular,jul,4,-1,unknown,yes
856,50,blue-collar,5872,yes,no,cellular,may,3,-1,unknown,yes
4838,45,admin.,1506,no,no,cellular,jul,4,-1,unknown,yes
5351,38,management,0,no,no,cellular,sep,12,197,failure,no
6759,43,admin.,733,yes,no,cellular,aug,1,88,success,yes
7052,34,admin.,3185,yes,no,unknown,may,1,-1,unknown,no
5354,32,technician,705,no,no,cellular,jun,1,-1,unknown,yes
5763,48,management,291,yes,no,telephone,jul,2,-1,unknown,no
3776,30,technician,120,yes,no,cellular,may,1,-1,unknown,no
4103,26,unemployed,461,no,no,cellular,jan,1,-1,unknown,no
3810,51,management,1394,yes,no,cellular,aug,1,-1,unknown,no
3353,48,blue-collar,113,no,no,cellular,aug,13,-1,unknown,no
2599,55,retired,3334,no,no,cellular,aug,4,-1,unknown,yes
3075,51,blue-collar,814,yes,no,cellular,may,8,-1,unknown,no
571,48,management,86,no,no,cellular,jun,3,186,other,yes
4399,22,student,381,no,no,cellular,feb,1,-1,unknown,yes
5143,46,management,16,yes,no,cellular,may,1,-1,unknown,no
6339,32,technician,287,yes,no,unknown,may,8,-1,unknown,no
7763,28,management,-994,yes,yes,cellular,jul,2,-1,unknown,no
5541,31,management,477,yes,no,cellular,nov,5,-1,unknown,no
3616,36,technician,571,yes,yes,cellular,jul,3,-1,unknown,no
1939,46,entrepreneur,3317,no,no,cellular,nov,2,-1,unknown,no
3521,54,management,-449,yes,no,cellular,may,1,-1,unknown,yes
2352,48,technician,256,yes,no,unknown,may,4,-1,unknown,no
1426,30,blue-collar,128,yes,no,unknown,may,1,-1,unknown,no
320,31,management,459,no,no,cellular,aug,14,-1,unknown,no
1372,35,technician,1609,yes,no,unknown,may,3,-1,unknown,no
3956,71,retired,1696,no,no,cellular,oct,1,-1,unknown,yes
6197,57,management,7162,no,no,cellular,nov,1,-1,unknown,no
