,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,default,day,duration,previous,deposit,prediction_label,prediction_score
1896,28,services,198,no,no,cellular,feb,2,-1,unknown,single,primary,no,4,976,0,1,1,0.9135
6638,23,student,431,no,no,cellular,aug,2,-1,unknown,single,secondary,no,13,496,0,1,1,0.7299
5289,30,management,536,no,no,cellular,jul,1,-1,unknown,single,tertiary,no,2,309,0,1,1,0.7239
3786,31,management,166,no,no,cellular,aug,6,-1,unknown,married,tertiary,no,25,392,0,0,0,0.7732
205,30,admin.,60,no,no,cellular,jan,2,-1,unknown,single,secondary,no,29,55,0,0,0,0.9893
673,31,blue-collar,17,yes,no,cellular,may,1,-1,unknown,single,unknown,yes,6,72,0,0,0,0.9882
213,59,management,1,yes,no,cellular,apr,1,-1,unknown,married,tertiary,no,29,210,0,1,1,0.4899
1191,40,technician,-357,yes,no,cellular,jul,4,-1,unknown,married,secondary,no,16,700,0,1,1,0.7525
2003,41,technician,1631,yes,no,cellular,aug,2,-1,unknown,divorced,secondary,no,12,173,0,0,0,0.931
3474,30,technician,411,yes,no,cellular,apr,1,-1,unknown,single,secondary,no,16,948,0,0,1,0.8953
2336,29,student,67,no,no,cellular,feb,1,187,success,single,secondary,no,23,211,5,1,1,0.9787
628,41,admin.,338,yes,no,unknown,may,1,-1,unknown,married,secondary,no,16,121,0,0,0,0.9859
501,39,blue-collar,522,yes,no,telephone,may,7,350,failure,single,secondary,no,14,225,2,0,0,0.9763
6275,49,technician,80,no,no,cellular,jul,1,-1,unknown,married,tertiary,no,17,123,0,0,0,0.8094
3154,56,management,0,no,no,cellular,nov,2,-1,unknown,married,tertiary,no,19,844,0,0,1,0.8177
3117,45,management,4119,yes,yes,telephone,aug,2,283,success,married,tertiary,no,31,473,1,1,1,0.9612
445,32,unemployed,1026,yes,no,cellular,may,1,-1,unknown,single,secondary,no,13,289,0,1,0,0.7412
2327,43,management,1429,yes,no,cellular,nov,1,198,other,married,tertiary,no,19,1015,2,1,1,0.8846
3231,41,entrepreneur,663,no,no,cellular,jul,1,-1,unknown,single,secondary,no,24,1204,0,1,1,0.9257
665,27,blue-collar,106,yes,no,unknown,may,5,-1,unknown,married,primary,no,30,150,0,0,0,0.9913
4474,42,management,441,no,no,cellular,aug,9,-1,unknown,married,tertiary,no,7,296,0,0,0,0.7174
80,39,technician,8,no,yes,cellular,nov,2,96,failure,married,secondary,no,17,333,2,0,0,0.6901
453,38,blue-collar,2467,no,no,cellular,jun,1,-1,unknown,married,secondary,no,2,192,0,1,1,0.9682
3527,35,technician,354,no,no,cellular,aug,3,-1,unknown,single,secondary,no,11,444,0,1,1,0.7042
6347,28,technician,676,no,no,cellular,feb,2,-1,unknown,single,tertiary,no,5,1138,0,1,1,0.9434
3533,31,management,533,no,no,telephone,may,1,90,success,single,tertiary,no,12,372,10,1,1,0.9709
2112,28,technician,922,yes,no,cellular,apr,1,-1,unknown,single,secondary,no,7,304,0,0,0,0.6474
1557,44,technician,9192,yes,no,unknown,jun,3,-1,unknown,divorced,tertiary,no,6,59,0,0,0,0.9899
6560,62,retired,1495,no,no,cellular,oct,1,57,success,married,secondary,no,13,896,2,1,1,0.979
2907,40,management,917,yes,no,unknown,may,1,-1,unknown,married,tertiary,no,20,292,0,0,0,0.9843
1309,36,technician,2473,no,no,cellular,aug,4,-1,unknown,married,secondary,no,28,965,0,1,1,0.9181
7342,73,retired,1843,no,no,cellular,sep,2,-1,unknown,married,tertiary,no,11,106,0,1,1,0.5014
1165,25,blue-collar,1857,yes,no,cellular,oct,1,91,success,single,secondary,no,12,187,12,1,1,0.9745
3297,27,technician,1075,no,no,cellular,sep,2,184,success,single,tertiary,no,2,529,1,1,1,0.9744
3120,54,admin.,140,no,no,telephone,apr,2,182,failure,married,unknown,no,27,473,2,1,1,0.8993
1009,53,management,-601,yes,no,unknown,may,2,-1,unknown,married,tertiary,no,30,509,0,0,1,0.4035
4022,40,services,113,yes,no,unknown,jun,1,-1,unknown,married,secondary,no,4,126,0,0,0,0.9522
4854,46,blue-collar,668,yes,no,unknown,may,2,-1,unknown,married,secondary,no,15,1263,0,1,1,0.867
6267,46,blue-collar,977,no,yes,telephone,feb,3,-1,unknown,married,primary,no,2,436,0,1,1,0.4744
4280,41,self-employed,305,yes,no,cellular,may,2,-1,unknown,married,secondary,no,13,174,0,0,0,0.9687
2991,24,blue-collar,1222,yes,no,cellular,apr,1,-1,unknown,married,secondary,no,20,369,0,0,0,0.7568
4466,45,admin.,2353,yes,no,cellular,mar,1,107,other,divorced,secondary,no,5,182,2,1,1,0.7119
1026,27,admin.,73,no,no,cellular,feb,1,-1,unknown,married,tertiary,no,10,159,0,1,1,0.8614
6409,36,management,-115,yes,no,cellular,apr,4,182,other,married,tertiary,no,16,297,2,1,1,0.6378
6425,47,management,21,yes,no,cellular,nov,2,-1,unknown,married,secondary,no,18,229,0,0,0,0.9738
730,27,technician,2781,yes,no,cellular,may,1,389,failure,single,tertiary,no,24,168,1,1,1,0.8667
3941,31,management,3,no,no,cellular,feb,2,-1,unknown,single,tertiary,no,4,406,0,0,1,0.64
5153,41,services,1319,yes,no,cellular,may,1,-1,unknown,married,secondary,no,11,305,0,0,0,0.8581
4069,71,retired,4380,no,no,cellular,sep,1,-1,unknown,divorced,secondary,no,22,369,0,1,1,0.8187
7267,55,technician,276,yes,no,unknown,may,1,-1,unknown,married,secondary,no,12,486,0,0,1,0.4475
5346,32,technician,705,no,no,cellular,jun,1,-1,unknown,single,tertiary,no,17,544,0,1,1,0.9488
3559,31,management,518,yes,no,cellular,may,1,-1,unknown,single,tertiary,no,18,399,0,0,1,0.4423
2275,34,management,575,no,no,cellular,mar,1,-1,unknown,single,tertiary,no,9,116,0,1,1,0.9274
859,30,management,1195,no,no,cellular,jul,2,-1,unknown,married,tertiary,no,18,146,0,0,0,0.8885
6502,42,technician,275,no,no,cellular,aug,8,-1,unknown,single,secondary,no,26,31,0,0,0,0.995
790,35,management,178,no,no,cellular,aug,2,-1,unknown,married,tertiary,no,14,76,0,0,0,0.9719
2147,29,management,983,yes,no,cellular,jul,2,-1,unknown,single,tertiary,no,11,963,0,1,1,0.916
5473,57,retired,734,no,no,cellular,aug,4,-1,unknown,divorced,tertiary,no,6,1357,0,1,1,0.9676
6610,52,housemaid,234,no,no,cellular,nov,1,-1,unknown,married,secondary,no,20,208,0,0,0,0.8702
3470,46,admin.,1342,yes,no,cellular,feb,1,-1,unknown,divorced,secondary,no,4,135,0,0,0,0.9224
6805,26,blue-collar,246,yes,no,unknown,may,3,-1,unknown,married,secondary,no,16,1143,0,1,1,0.8489
7662,47,retired,-71,yes,no,cellular,aug,5,-1,unknown,married,secondary,no,11,293,0,0,0,0.846
6119,50,admin.,237,no,yes,telephone,nov,1,-1,unknown,divorced,secondary,no,5,169,0,1,1,0.6398
6851,51,technician,1533,no,no,unknown,jun,2,-1,unknown,married,tertiary,no,18,242,0,0,0,0.9588
